,Treebank,el_gud-ud-train_Case=Voc,el_gud-ud-test_Case=Voc,fa_seraji-ud-dev_Case=Voc,fa_seraji-ud-test_Case=Voc,fa_seraji-ud-train_Case=Voc,sga_dipsgg-ud-test_Case=Voc,pl_pdb-ud-test_Case=Voc,pl_pdb-ud-train_Case=Voc,pl_pdb-ud-dev_Case=Voc,uk_iu-ud-dev_Case=Voc,uk_iu-ud-train_Case=Voc,uk_iu-ud-test_Case=Voc,sa_vedic-ud-test_Case=Voc,sa_vedic-ud-train_Case=Voc,sa_vedic-ud-dev_Case=Voc,kmr_mg-ud-test_Case=Voc,hr_set-ud-dev_Case=Voc,hr_set-ud-train_Case=Voc,hr_set-ud-test_Case=Voc,orv_rnc-ud-dev_Case=Voc,orv_rnc-ud-train_Case=Voc,orv_rnc-ud-test_Case=Voc,cpg_tuecl-ud-test_Case=Voc,la_circse-ud-test_Case=Voc,grc_perseus-ud-dev_Case=Voc,grc_perseus-ud-train_Case=Voc,grc_perseus-ud-test_Case=Voc,qpm_philotis-ud-train_Case=Voc,qpm_philotis-ud-dev_Case=Voc,qpm_philotis-ud-test_Case=Voc,la_perseus-ud-test_Case=Voc,la_perseus-ud-train_Case=Voc,sk_snk-ud-train_Case=Voc,lt_hse-ud-train_Case=Voc,ess_sli-ud-test_Case=Voc,hit_hittb-ud-test_Case=Voc,sa_ufal-ud-test_Case=Voc,be_hse-ud-train_Case=Voc,be_hse-ud-dev_Case=Voc,be_hse-ud-test_Case=Voc,cs_pud-ud-test_Case=Voc,orv_ruthenian-ud-test_Case=Voc,orv_ruthenian-ud-train_Case=Voc,orv_ruthenian-ud-dev_Case=Voc,ml_ufal-ud-test_Case=Voc,egy_ujaen-ud-test_Case=Voc,ro_nonstandard-ud-test_Case=Voc,ro_nonstandard-ud-dev_Case=Voc,ro_nonstandard-ud-train_Case=Voc,ro_simonero-ud-train_Case=Voc,mr_ufal-ud-dev_Case=Voc,mr_ufal-ud-test_Case=Voc,ro_tuecl-ud-test_Case=Voc,lt_alksnis-ud-test_Case=Voc,lt_alksnis-ud-dev_Case=Voc,lt_alksnis-ud-train_Case=Voc,vi_tuecl-ud-test_Case=Voc,cu_proiel-ud-train_Case=Voc,cu_proiel-ud-test_Case=Voc,cu_proiel-ud-dev_Case=Voc,la_llct-ud-dev_Case=Voc,la_llct-ud-train_Case=Voc,sr_set-ud-train_Case=Voc,la_proiel-ud-test_Case=Voc,la_proiel-ud-dev_Case=Voc,la_proiel-ud-train_Case=Voc,grc_proiel-ud-test_Case=Voc,grc_proiel-ud-train_Case=Voc,grc_proiel-ud-dev_Case=Voc,ru_taiga-ud-train_Case=Voc,ru_taiga-ud-dev_Case=Voc,ru_taiga-ud-test_Case=Voc,tpn_tudet-ud-test_Case=Voc,ga_idt-ud-train_Case=Voc,ga_idt-ud-test_Case=Voc,ga_idt-ud-dev_Case=Voc,ro_art-ud-test_Case=Voc,ru_syntagrus-ud-train_Case=Voc,ru_syntagrus-ud-dev_Case=Voc,ru_syntagrus-ud-test_Case=Voc,grc_ptnk-ud-train_Case=Voc,grc_ptnk-ud-dev_Case=Voc,grc_ptnk-ud-test_Case=Voc,orv_birchbark-ud-train_Case=Voc,orv_birchbark-ud-dev_Case=Voc,orv_birchbark-ud-test_Case=Voc,ltg_cairo-ud-test_Case=Voc,ru_poetry-ud-test_Case=Voc,ru_poetry-ud-dev_Case=Voc,ru_poetry-ud-train_Case=Voc,cs_fictree-ud-dev_Case=Voc,cs_fictree-ud-train_Case=Voc,cs_fictree-ud-test_Case=Voc,la_udante-ud-train_Case=Voc,la_udante-ud-test_Case=Voc,la_udante-ud-dev_Case=Voc,ro_rrt-ud-test_Case=Voc,ro_rrt-ud-train_Case=Voc,el_gdt-ud-test_Case=Voc,el_gdt-ud-train_Case=Voc,el_gdt-ud-dev_Case=Voc,gd_arcosg-ud-test_Case=Voc,gd_arcosg-ud-train_Case=Voc,gd_arcosg-ud-dev_Case=Voc,got_proiel-ud-dev_Case=Voc,got_proiel-ud-train_Case=Voc,got_proiel-ud-test_Case=Voc,cs_pdt-ud-test_Case=Voc,cs_pdt-ud-dev_Case=Voc,cs_pdt-ud-train_Case=Voc,lv_lvtb-ud-test_Case=Voc,lv_lvtb-ud-train_Case=Voc,lv_lvtb-ud-dev_Case=Voc,la_ittb-ud-dev_Case=Voc,la_ittb-ud-test_Case=Voc,la_ittb-ud-train_Case=Voc,ga_cadhan-ud-test_Case=Voc,pl_pud-ud-test_Case=Voc,orv_torot-ud-test_Case=Voc,orv_torot-ud-dev_Case=Voc,orv_torot-ud-train_Case=Voc,cs_cac-ud-dev_Case=Voc,cs_cac-ud-train_Case=Voc,cs_cac-ud-test_Case=Voc,pl_lfg-ud-test_Case=Voc,pl_lfg-ud-train_Case=Voc,pl_lfg-ud-dev_Case=Voc,cs_poetry-ud-test_Case=Voc,ru_gsd-ud-train_Case=Voc,lv_cairo-ud-test_Case=Voc,bg_btb-ud-train_Case=Voc,bg_btb-ud-test_Case=Voc,bg_btb-ud-dev_Case=Voc,bej_nsc-ud-test_Case=Voc
0,hu_szeged-ud-dev_Case=Tra,10.930176119349586,13.1089187197114,1.5309310892394863,1.5309310892394863,1.5309310892394863,1.5309310892394863,5.122666218257194,5.3125698828655965,3.2068286514873225,1.5309310892394863,40.58440279220578,1.5309310892394863,345.87872694052754,157.97391737228205,413.86240920141563,1.5309310892394863,1.5309310892394863,32.69699909777654,1.5309310892394863,1.5309310892394863,58.590474908469545,11.142542349033276,24.168031570651344,51.772841175015046,1.5309310892394863,1.5309310892394863,1.5309310892394863,88.06017118993127,1.5309310892394863,1.5309310892394863,1.5309310892394863,1.5309310892394863,1.5309310892394863,1.5309310892394863,1.5309310892394863,1.5309310892394863,1.5309310892394863,1.5309310892394863,1.5309310892394863,1.5309310892394863,1.5309310892394863,5.2291251658379725,6.95296699258669,1.5309310892394863,1.5309310892394863,1.5309310892394863,20.886182965991868,70.5502923452483,34.440873246768874,1.0458250331675945,1.5309310892394863,1.5309310892394863,4.726917600297259,1.5309310892394863,1.5309310892394863,1.5309310892394863,1.5309310892394863,15.891035099621298,16.600207543758835,20.437638214459223,1.5309310892394863,4.546527300459897,1.5309310892394863,10.05730110693498,14.54626240654279,14.918819677023901,10.760169608328672,20.04236677763838,13.673651670274477,1.5309310892394863,1.5309310892394863,1.5309310892394863,1.5309310892394863,1.5309310892394863,1.5309310892394863,1.5309310892394863,1.5309310892394863,32.246608348786076,1.5309310892394863,1.5309310892394863,33.657744279734494,7.7034894690653015,1.5309310892394863,13.265321330446541,37.16718048972179,22.28718802361572,1.5309310892394863,1.5309310892394863,1.5309310892394863,1.5309310892394863,1.5309310892394863,420.3416393244904,1.5309310892394863,1.5309310892394863,1.5309310892394863,11.15655636834234,1.5309310892394863,1.5309310892394863,1.5309310892394863,1.5309310892394863,1.5309310892394863,1.5309310892394863,1.5309310892394863,1.5309310892394863,13.262871106966244,82.35119155179238,42.69184641122939,1.5309310892394863,43.97549033268418,1.5309310892394863,1.5309310892394863,80.88011962157326,17.83518292589117,1.5309310892394863,1.5309310892394863,1.5309310892394863,1.5309310892394863,1.5309310892394863,5.790161674964026,7.274812163336887,10.137421833413633,1.5309310892394863,1.5309310892394863,1.5309310892394863,1.5309310892394863,93.36671650004621,1.5309310892394863,45.94664024713885,0.5863019699779287,1.5309310892394863,1.5309310892394863,1.5309310892394863,1.5309310892394863,1.5309310892394863
1,hu_szeged-ud-test_Case=Tra,11.216926693370356,13.374415875095258,1.1726039399558574,1.1726039399558574,1.1726039399558574,1.1726039399558574,5.339574367097878,5.5516607100144775,3.4227182180249662,1.1726039399558574,40.870221433214674,1.1726039399558574,346.1589832239901,158.25541590116234,414.1421354237375,1.1726039399558574,1.1726039399558574,32.99052894392571,1.1726039399558574,1.1726039399558574,58.8315627684475,11.376144631054348,24.441256105200484,52.06873128642351,1.1726039399558574,1.1726039399558574,1.1726039399558574,88.32350574262021,1.1726039399558574,1.1726039399558574,1.1726039399558574,1.1726039399558574,1.1726039399558574,1.1726039399558574,1.1726039399558574,1.1726039399558574,1.1726039399558574,1.1726039399558574,1.1726039399558574,1.1726039399558574,1.1726039399558574,5.481027884135115,7.213991035943049,1.1726039399558574,1.1726039399558574,1.1726039399558574,21.1275885987966,70.79812850633836,34.69925551554864,1.3070322617798436,1.1726039399558574,1.1726039399558574,4.970747764002246,1.1726039399558574,1.1726039399558574,1.1726039399558574,1.1726039399558574,16.144498847242804,16.8655455098361,20.704474769529742,1.1726039399558574,4.8436989742433845,1.1726039399558574,10.308437752098467,14.79630209057505,15.178967081678078,11.030261405182864,20.294405663496725,13.922404006971403,1.1726039399558574,1.1726039399558574,1.1726039399558574,1.1726039399558574,1.1726039399558574,1.1726039399558574,1.1726039399558574,1.1726039399558574,32.49679471373548,1.1726039399558574,1.1726039399558574,33.907349252534225,7.981750016965786,1.1726039399558574,13.4969132273519,37.41267610494247,22.525911006364794,1.1726039399558574,1.1726039399558574,1.1726039399558574,1.1726039399558574,1.1726039399558574,420.6226040050629,1.1726039399558574,1.1726039399558574,1.1726039399558574,11.445523142259598,1.1726039399558574,1.1726039399558574,1.1726039399558574,1.1726039399558574,1.1726039399558574,1.1726039399558574,1.1726039399558574,1.1726039399558574,13.505616115774455,82.60271383758122,42.95394820812944,1.1726039399558574,44.27988632927295,1.1726039399558574,1.1726039399558574,81.17291214849118,18.130315312573398,1.1726039399558574,1.1726039399558574,1.1726039399558574,1.1726039399558574,1.1726039399558574,6.01308757812675,7.518501177798156,10.387022580857234,1.1726039399558574,1.1726039399558574,1.1726039399558574,1.1726039399558574,93.6342618916815,1.1726039399558574,46.242566970271014,0.2041241452319316,1.1726039399558574,1.1726039399558574,1.1726039399558574,1.1726039399558574,1.1726039399558574
2,hu_szeged-ud-train_Case=Tra,11.256216060470765,13.412024455689005,1.1235657524150513,1.1235657524150513,1.1235657524150513,1.1235657524150513,5.371386018068525,5.586306605227044,3.4551989812455086,1.1235657524150513,40.909930334822135,1.1235657524150513,346.19777931119086,158.29439880687127,414.1807605381979,1.1235657524150513,1.1235657524150513,33.03123370387488,1.1235657524150513,1.1235657524150513,58.865233655642044,11.409092864903853,24.479019588210637,52.108563595631765,1.1235657524150513,1.1235657524150513,1.1235657524150513,88.35984608406694,1.1235657524150513,1.1235657524150513,1.1235657524150513,1.1235657524150513,1.1235657524150513,1.1235657524150513,1.1235657524150513,1.1235657524150513,1.1235657524150513,1.1235657524150513,1.1235657524150513,1.1235657524150513,1.1235657524150513,5.517463185196617,7.251372283919782,1.1235657524150513,1.1235657524150513,1.1235657524150513,21.161709655780548,70.83291890074841,34.73547274281245,1.335065541462291,1.1235657524150513,1.1235657524150513,5.0062361110918445,1.1235657524150513,1.1235657524150513,1.1235657524150513,1.1235657524150513,16.179797806638746,16.90191206357904,20.741269277449476,1.1235657524150513,4.885420992259003,1.1235657524150513,10.343659356769678,14.831354175080126,15.215118486411981,11.067402585972916,20.329568078825602,13.957700383659192,1.1235657524150513,1.1235657524150513,1.1235657524150513,1.1235657524150513,1.1235657524150513,1.1235657524150513,1.1235657524150513,1.1235657524150513,32.530945267544865,1.1235657524150513,1.1235657524150513,33.94145547851476,8.021371453810128,1.1235657524150513,13.529870657179247,37.44691294204222,22.559640954589682,1.1235657524150513,1.1235657524150513,1.1235657524150513,1.1235657524150513,1.1235657524150513,420.661410638057,1.1235657524150513,1.1235657524150513,1.1235657524150513,11.486400654687264,1.1235657524150513,1.1235657524150513,1.1235657524150513,1.1235657524150513,1.1235657524150513,1.1235657524150513,1.1235657524150513,1.1235657524150513,13.540103396946419,82.63789929566215,42.98956152370015,1.1235657524150513,44.32180501739522,1.1235657524150513,1.1235657524150513,81.21245224717697,18.170921825818304,1.1235657524150513,1.1235657524150513,1.1235657524150513,1.1235657524150513,1.1235657524150513,6.04554565132232,7.552712432547488,10.421658765694232,1.1235657524150513,1.1235657524150513,1.1235657524150513,1.1235657524150513,93.67178016884273,1.1235657524150513,46.28371635899607,0.14966629547095772,1.1235657524150513,1.1235657524150513,1.1235657524150513,1.1235657524150513,1.1235657524150513
3,fi_ood-ud-test_Case=Tra,9.498127566479829,11.732730117272633,3.451894652855358,3.451894652855358,3.451894652855358,3.451894652855358,4.269347606079078,4.274382178701494,2.6011385049623215,3.451894652855358,39.03515291248784,3.451894652855358,344.37011723676017,156.45679084681385,412.3563303296086,3.451894652855358,3.451894652855358,31.085284091338767,3.451894652855358,3.451894652855358,57.30876797697921,10.013226983617514,22.72515826289713,50.19544046386164,3.451894652855358,3.451894652855358,3.451894652855358,86.66315124429161,3.451894652855358,3.451894652855358,3.451894652855358,3.451894652855358,3.451894652855358,3.451894652855358,3.451894652855358,3.451894652855358,3.451894652855358,3.451894652855358,3.451894652855358,3.451894652855358,3.451894652855358,4.123321912119297,5.707078859469573,3.451894652855358,3.451894652855358,3.451894652855358,19.63136960275192,69.1994996304757,33.03944267230774,1.880496304060135,3.451894652855358,3.451894652855358,3.7071772147157955,3.451894652855358,3.451894652855358,3.451894652855358,3.451894652855358,14.596676871188807,15.25748192880575,19.06674660379172,3.451894652855358,3.182720592247331,3.451894652855358,8.831102628170354,13.276742768220371,13.58955677080671,9.437044986314401,18.731187180837317,12.405403055534855,3.451894652855358,3.451894652855358,3.451894652855358,3.451894652855358,3.451894652855358,3.451894652855358,3.451894652855358,3.451894652855358,30.96970250496662,3.451894652855358,3.451894652855358,32.38057725845793,6.320605940337692,3.451894652855358,12.108598717494441,35.87381917729013,21.042589590979798,3.451894652855358,3.451894652855358,3.451894652855358,3.451894652855358,3.451894652855358,418.81007759357436,3.451894652855358,3.451894652855358,3.451894652855358,9.576239856951146,3.451894652855358,3.451894652855358,3.451894652855358,3.451894652855358,3.451894652855358,3.451894652855358,3.451894652855358,3.451894652855358,12.0200862412104,80.98670638553695,41.33694670511246,3.451894652855358,42.312691388713155,3.451894652855358,3.451894652855358,79.3196396352557,16.269870317328508,3.451894652855358,3.451894652855358,3.451894652855358,3.451894652855358,3.451894652855358,4.850534400878413,6.1759424483510115,8.944333062659883,3.451894652855358,3.451894652855358,3.451894652855358,3.451894652855358,91.91751394482914,3.451894652855358,44.3195884629133,2.5089613467008616,3.451894652855358,3.451894652855358,3.451894652855358,3.451894652855358,3.451894652855358
4,et_ewt-ud-train_Case=Tra,9.208547493431062,11.460375390083547,4.0984566532751705,4.0984566532751705,4.0984566532751705,4.0984566532751705,4.340295297016796,4.303715049997342,2.9162458394172406,4.0984566532751705,38.67530852877477,4.0984566532751705,344.00367137338424,156.09792733653794,411.9945529162407,4.0984566532751705,4.0984566532751705,30.747546774548717,4.0984566532751705,4.0984566532751705,57.010836182052884,9.844552000047166,22.40976008213331,49.832311322079775,4.0984566532751705,4.0984566532751705,4.0984566532751705,86.32139399491003,4.0984566532751705,4.0984566532751705,4.0984566532751705,4.0984566532751705,4.0984566532751705,4.0984566532751705,4.0984566532751705,4.0984566532751705,4.0984566532751705,4.0984566532751705,4.0984566532751705,4.0984566532751705,4.0984566532751705,4.128843293075617,5.5944031798553375,4.0984566532751705,4.0984566532751705,4.0984566532751705,19.376484216430214,68.88124504077541,32.74679139913978,2.503752286110605,4.0984566532751705,4.0984566532751705,3.754643383701774,4.0984566532751705,4.0984566532751705,4.0984566532751705,4.0984566532751705,14.351983157175205,14.98548108266128,18.765244974624384,4.0984566532751705,3.1613839852893446,4.0984566532751705,8.65065632627279,13.038485680612506,13.338688497287295,9.208353572175868,18.468112358854366,12.16923186078861,4.0984566532751705,4.0984566532751705,4.0984566532751705,4.0984566532751705,4.0984566532751705,4.0984566532751705,4.0984566532751705,4.0984566532751705,30.679638265169174,4.0984566532751705,4.0984566532751705,32.08956534578854,6.1479546955695366,4.0984566532751705,11.918361755659856,35.58150332243998,20.792792118463375,4.0984566532751705,4.0984566532751705,4.0984566532751705,4.0984566532751705,4.0984566532751705,418.4322579460096,4.0984566532751705,4.0984566532751705,4.0984566532751705,9.3046181204468,4.0984566532751705,4.0984566532751705,4.0984566532751705,4.0984566532751705,4.0984566532751705,4.0984566532751705,4.0984566532751705,4.0984566532751705,11.817550075879447,80.669857557624,41.01912694719628,4.0984566532751705,41.92643460118386,4.0984566532751705,4.0984566532751705,78.93458542052528,15.86947396990942,4.0984566532751705,4.0984566532751705,4.0984566532751705,4.0984566532751705,4.0984566532751705,4.859114912453327,6.075564003580149,8.758890527076252,4.0984566532751705,4.0984566532751705,4.0984566532751705,4.0984566532751705,91.57778226230221,4.0984566532751705,43.93953870063373,3.20894794890405,4.0984566532751705,4.0984566532751705,4.0984566532751705,4.0984566532751705,4.0984566532751705
5,et_ewt-ud-test_Case=Tra,9.147320339189783,11.398397667556399,4.100771455544949,4.100771455544949,4.100771455544949,4.100771455544949,4.302348670393028,4.252619662307167,2.8708954729015357,4.100771455544949,38.631203682504946,4.100771455544949,343.9760611034508,156.06877442167198,411.9676156283776,4.100771455544949,4.100771455544949,30.689026158068497,4.100771455544949,4.100771455544949,56.98502011061154,9.815907539108473,22.367751932874533,49.79452678717997,4.100771455544949,4.100771455544949,4.100771455544949,86.2936964141433,4.100771455544949,4.100771455544949,4.100771455544949,4.100771455544949,4.100771455544949,4.100771455544949,4.100771455544949,4.100771455544949,4.100771455544949,4.100771455544949,4.100771455544949,4.100771455544949,4.100771455544949,4.083315979416129,5.551245493635842,4.100771455544949,4.100771455544949,4.100771455544949,19.34438459655673,68.84943643893669,32.70175316193224,2.5414924106653136,4.100771455544949,4.100771455544949,3.6880944695501676,4.100771455544949,4.100771455544949,4.100771455544949,4.100771455544949,14.318720912034363,14.95601297703827,18.73787458609028,4.100771455544949,3.1066740305954075,4.100771455544949,8.615626787605802,13.004839496900225,13.304381034276469,9.1746100400919,18.432674440363762,12.130771296372625,4.100771455544949,4.100771455544949,4.100771455544949,4.100771455544949,4.100771455544949,4.100771455544949,4.100771455544949,4.100771455544949,30.66108349058015,4.100771455544949,4.100771455544949,32.07071268688768,6.102859818083951,4.100771455544949,11.886903271573935,35.553989477981986,20.76170680333761,4.100771455544949,4.100771455544949,4.100771455544949,4.100771455544949,4.100771455544949,418.39014845778894,4.100771455544949,4.100771455544949,4.100771455544949,9.22507673769311,4.100771455544949,4.100771455544949,4.100771455544949,4.100771455544949,4.100771455544949,4.100771455544949,4.100771455544949,4.100771455544949,11.776091309539522,80.63583418742589,40.99819558000482,4.100771455544949,41.855558234266105,4.100771455544949,4.100771455544949,78.8979578639526,15.821388261799667,4.100771455544949,4.100771455544949,4.100771455544949,4.100771455544949,4.100771455544949,4.820440227917954,6.045716526820153,8.731867509535496,4.100771455544949,4.100771455544949,4.100771455544949,4.100771455544949,91.54523806427561,4.100771455544949,43.89063402483542,3.2007652146297256,4.100771455544949,4.100771455544949,4.100771455544949,4.100771455544949,4.100771455544949
6,et_ewt-ud-dev_Case=Tra,8.759072677325303,10.991118573648453,5.3378073681990434,5.3378073681990434,5.3378073681990434,5.3378073681990434,4.628807726552028,4.4879530550092595,3.6649948840346283,5.3378073681990434,37.93322669507565,5.3378073681990434,343.2207630483622,155.32245459746457,411.21632650893133,5.3378073681990434,5.3378073681990434,29.983198420115222,5.3378073681990434,5.3378073681990434,56.3914194492389,9.552077653578827,21.771361636333175,49.05940807667102,5.3378073681990434,5.3378073681990434,5.3378073681990434,85.62559306363957,5.3378073681990434,5.3378073681990434,5.3378073681990434,5.3378073681990434,5.3378073681990434,5.3378073681990434,5.3378073681990434,5.3378073681990434,5.3378073681990434,5.3378073681990434,5.3378073681990434,5.3378073681990434,5.3378073681990434,4.292981190268599,5.465088059674794,5.3378073681990434,5.3378073681990434,5.3378073681990434,18.865914848094583,68.21009593527926,32.10213680582649,3.7572845912972843,5.3378073681990434,5.3378073681990434,4.061057436185802,5.3378073681990434,5.3378073681990434,5.3378073681990434,5.3378073681990434,13.865557947493166,14.453667694189235,18.18572223710469,5.3378073681990434,3.3333188657093435,5.3378073681990434,8.337030429888623,12.589368034178682,12.843948531853004,8.811835081298334,17.93012403732409,11.73503035786444,5.3378073681990434,5.3378073681990434,5.3378073681990434,5.3378073681990434,5.3378073681990434,5.3378073681990434,5.3378073681990434,5.3378073681990434,30.097627605842955,5.3378073681990434,5.3378073681990434,31.503844011485327,5.873004980416754,5.3378073681990434,11.557938289331709,34.984011725199395,20.277566113811588,5.3378073681990434,5.3378073681990434,5.3378073681990434,5.3378073681990434,5.3378073681990434,417.6495147698606,5.3378073681990434,5.3378073681990434,5.3378073681990434,8.758478035594997,5.3378073681990434,5.3378073681990434,5.3378073681990434,5.3378073681990434,5.3378073681990434,5.3378073681990434,5.3378073681990434,5.3378073681990434,11.409521791030508,79.99760738609625,40.37470975127871,5.3378073681990434,41.13231317954292,5.3378073681990434,5.3378073681990434,78.15924249568953,15.214867317857228,5.3378073681990434,5.3378073681990434,5.3378073681990434,5.3378073681990434,5.3378073681990434,5.018241032030601,5.9963276175047096,8.462609463313987,5.3378073681990434,5.3378073681990434,5.3378073681990434,5.3378073681990434,90.83841251089761,5.3378073681990434,43.15660074079051,4.485218779502289,5.3378073681990434,5.3378073681990434,5.3378073681990434,5.3378073681990434,5.3378073681990434
7,gub_tudet-ud-test_Case=Tra,12.220201853215572,14.33527118683145,0.0,0.0,0.0,0.0,6.202369527454974,6.473643321286683,4.328972164382673,0.0,41.86884283091664,0.0,347.1296587732025,159.23164714190312,415.10841957252563,0.0,0.0,34.0147027033899,0.0,0.0,59.679700624807644,12.232129822725067,25.39685019840059,53.06913729592119,0.0,0.0,0.0,89.23564310296643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.442049363362563,8.18535277187245,0.0,0.0,0.0,21.99747460252856,71.67286794875729,35.61385498182788,2.23606797749979,0.0,0.0,5.916079783099616,0.0,0.0,0.0,0.0,17.047292861502005,17.792885568662104,21.63884630523281,0.0,5.920251913225432,0.0,11.220021786471223,15.69500982265807,16.103129009260556,11.984364814206884,21.18994636992963,14.828182626336917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.36165463522455,0.0,0.0,34.77067730142742,9.0,0.0,14.348344852281743,38.27822125206737,23.385358667337133,0.0,0.0,0.0,0.0,0.0,421.5934060205401,0.0,0.0,0.0,12.484990989183773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.393053880257655,83.48652585896721,43.8520238985614,0.0,45.332107826572546,0.0,0.0,82.16446920658588,19.157244060668017,0.0,0.0,0.0,0.0,0.0,6.883474574822095,8.417718703168957,11.284882428655225,0.0,0.0,0.0,0.0,94.57536677169166,0.0,47.275786614291256,1.0,0.0,0.0,0.0,0.0,0.0
8,olo_kkpp-ud-test_Case=Tra,10.651243100776393,12.832118504211316,1.932535608352669,1.932535608352669,1.932535608352669,1.932535608352669,4.915614438310072,5.060660450605549,3.007677251464923,1.932535608352669,40.257462231319586,1.932535608352669,345.5767731234971,157.66429872602586,413.5562049998495,1.932535608352669,1.932535608352669,32.3311942626464,1.932535608352669,1.932535608352669,58.337045557293536,10.908829039837785,23.8661232028726,51.434391205101825,1.932535608352669,1.932535608352669,1.932535608352669,87.78800996649571,1.932535608352669,1.932535608352669,1.932535608352669,1.932535608352669,1.932535608352669,1.932535608352669,1.932535608352669,1.932535608352669,1.932535608352669,1.932535608352669,1.932535608352669,1.932535608352669,1.932535608352669,4.980574509931519,6.688399948982642,1.932535608352669,1.932535608352669,1.932535608352669,20.632954729308114,70.27409892408323,34.136426969712325,1.1428571428571428,1.932535608352669,1.932535608352669,4.490352470143346,1.932535608352669,1.932535608352669,1.932535608352669,1.932535608352669,15.621238211873283,16.324928450650965,20.16555697158805,1.932535608352669,4.260182620343847,1.932535608352669,9.798190401670723,14.285238087301321,14.64269623411396,10.491614727573479,19.76864473576372,13.415171886140477,1.932535608352669,1.932535608352669,1.932535608352669,1.932535608352669,1.932535608352669,1.932535608352669,1.932535608352669,1.932535608352669,31.99808667749383,1.932535608352669,1.932535608352669,33.40902969716604,7.417574277569811,1.932535608352669,13.026170674798468,36.909216321037036,22.033311978336208,1.932535608352669,1.932535608352669,1.932535608352669,1.932535608352669,1.932535608352669,420.0243433178509,1.932535608352669,1.932535608352669,1.932535608352669,10.788670361229196,1.932535608352669,1.932535608352669,1.932535608352669,1.932535608352669,1.932535608352669,1.932535608352669,1.932535608352669,1.932535608352669,12.993750460140758,82.0706514945184,42.42496377158628,1.932535608352669,43.61707211163809,1.932535608352669,1.932535608352669,80.55445616577188,17.52199783595653,1.932535608352669,1.932535608352669,1.932535608352669,1.932535608352669,1.932535608352669,5.573129573465019,7.04220718548038,9.893803461701445,1.932535608352669,1.932535608352669,1.932535608352669,1.932535608352669,93.07496430078196,1.932535608352669,45.60567454846391,1.0101525445522108,1.932535608352669,1.932535608352669,1.932535608352669,1.932535608352669,1.932535608352669
9,mdf_jr-ud-test_Case=Tra,9.228014412645873,11.495923190418418,3.9567979478361033,3.9567979478361033,3.9567979478361033,3.9567979478361033,4.3487184365990315,4.339510721934573,2.8803211626483596,3.9567979478361033,38.79956507488196,3.9567979478361033,344.11031116489374,156.20656875617036,412.10211871573773,3.9567979478361033,3.9567979478361033,30.897512035761068,3.9567979478361033,3.9567979478361033,57.097048230768166,9.904228894770153,22.51457861031381,49.969052922784115,3.9567979478361033,3.9567979478361033,3.9567979478361033,86.40981570400437,3.9567979478361033,3.9567979478361033,3.9567979478361033,3.9567979478361033,3.9567979478361033,3.9567979478361033,3.9567979478361033,3.9567979478361033,3.9567979478361033,3.9567979478361033,3.9567979478361033,3.9567979478361033,3.9567979478361033,4.1570722870789725,5.648561763847502,3.9567979478361033,3.9567979478361033,3.9567979478361033,19.45195291538159,68.97939003789465,32.853697153694384,2.378287198805056,3.9567979478361033,3.9567979478361033,3.7291084725440746,3.9567979478361033,3.9567979478361033,3.9567979478361033,3.9567979478361033,14.44018959310315,15.083625364355592,18.860986944282548,3.9567979478361033,3.19462559872818,3.9567979478361033,8.725163163071636,13.117656675895534,13.433219602496228,9.282039107868487,18.557659977140453,12.241068172345091,3.9567979478361033,3.9567979478361033,3.9567979478361033,3.9567979478361033,3.9567979478361033,3.9567979478361033,3.9567979478361033,3.9567979478361033,30.763716452990526,3.9567979478361033,3.9567979478361033,32.173844190584376,6.217415057722944,3.9567979478361033,11.983060961206865,35.668078243095124,20.872380075113618,3.9567979478361033,3.9567979478361033,3.9567979478361033,3.9567979478361033,3.9567979478361033,418.54438982024357,3.9567979478361033,3.9567979478361033,3.9567979478361033,9.44556774365628,3.9567979478361033,3.9567979478361033,3.9567979478361033,3.9567979478361033,3.9567979478361033,3.9567979478361033,3.9567979478361033,3.9567979478361033,11.900262602144542,80.76992788160703,41.114550344129995,3.9567979478361033,42.02268732482491,3.9567979478361033,3.9567979478361033,79.06109188469382,15.981434541367054,3.9567979478361033,3.9567979478361033,3.9567979478361033,3.9567979478361033,3.9567979478361033,4.880758706958946,6.1209608104123285,8.823335537085734,3.9567979478361033,3.9567979478361033,3.9567979478361033,3.9567979478361033,91.6816843758883,3.9567979478361033,44.06990186056692,3.0669610365963242,3.9567979478361033,3.9567979478361033,3.9567979478361033,3.9567979478361033,3.9567979478361033
