Treebank,Number of Sentences,Failures,flat:name,obl,nmod:obl,nsubj,det,conj,orphan,advcl,nmod:att,appos,Total,parataxis,obl:lvc,root,xcomp,amod,cop,nmod,acl,acl:relcl,ccomp,nummod,csubj,csubj:cop,flat,reparandum,dep,obl:lmod,obl:inst,case,obj,advmod:lmod,nmod:lmod,nmod:tmod,advmod,cop:own,xcomp:ds,vocative,nsubj:cop,fixed,advmod:tmod,compound,advcl:tcl,obl:tmod,list,mark,_,iobj,aux,expl,compound:prt
hu_szeged-ud-dev,441,0,4.0,198.0,20.0,2.0,3.0,13.0,2.0,3.0,2.0,1.0,248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hu_szeged-ud-test,449,0,6.0,210.0,7.0,,1.0,7.0,2.0,2.0,1.0,4.0,242,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hu_szeged-ud-train,910,0,19.0,395.0,22.0,,9.0,14.0,7.0,2.0,,2.0,478,4.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fi_ood-ud-test,2122,0,1.0,209.0,,,18.0,23.0,8.0,46.0,,1.0,456,9.0,,69.0,8.0,23.0,5.0,24.0,2.0,5.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
et_ewt-ud-train,5444,0,,651.0,,,54.0,87.0,4.0,18.0,,1.0,1244,10.0,,131.0,57.0,70.0,,107.0,13.0,10.0,22.0,2.0,1.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
et_ewt-ud-test,913,0,,172.0,,,15.0,19.0,4.0,2.0,,,310,5.0,,26.0,7.0,30.0,,23.0,4.0,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
et_ewt-ud-dev,833,0,,79.0,,,8.0,5.0,,4.0,,,146,1.0,,9.0,11.0,8.0,,13.0,6.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
si_stb-ud-test,100,0,,2.0,,1.0,,,,,,,13,,,2.0,,,,1.0,,,,,,,,,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,
olo_kkpp-ud-test,106,0,,25.0,,,1.0,1.0,1.0,1.0,,,40,,,,,8.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
olo_kkpp-ud-train,19,0,,,,,,,,,,,1,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mdf_jr-ud-test,454,0,,30.0,,,,9.0,,1.0,,3.0,123,,,6.0,,,,5.0,,,,,,,,,,29.0,16.0,9.0,1.0,8.0,3.0,1.0,2.0,,,,,,,,,,,,,,,,
mdf_jr-ud-train,20,0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
vep_vwt-ud-test,103,0,,28.0,,,,1.0,,,,,46,,,6.0,,2.0,,7.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fi_tdt-ud-train,12217,0,37.0,2749.0,,,297.0,354.0,11.0,351.0,,18.0,5512,15.0,,361.0,48.0,416.0,15.0,503.0,157.0,78.0,56.0,26.0,1.0,5.0,,,,,,1.0,,,,,1.0,1.0,7.0,3.0,1.0,,,,,,,,,,,,
fi_tdt-ud-test,1555,0,10.0,325.0,,,35.0,35.0,1.0,41.0,,3.0,657,2.0,,49.0,4.0,53.0,5.0,58.0,18.0,10.0,4.0,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
fi_tdt-ud-dev,1364,0,6.0,295.0,,,32.0,40.0,4.0,27.0,,3.0,600,3.0,,40.0,7.0,45.0,,62.0,17.0,10.0,6.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
myv_jr-ud-test,921,0,,48.0,,,,11.0,2.0,2.0,,1.0,256,,,10.0,,1.0,,5.0,,1.0,1.0,,,,1.0,,,69.0,50.0,16.0,15.0,14.0,4.0,,2.0,,,,,1.0,1.0,1.0,,,,,,,,,
myv_jr-ud-train,1217,0,,44.0,,1.0,,16.0,,1.0,,2.0,258,,,34.0,,,,7.0,,1.0,3.0,,1.0,,,,,69.0,32.0,11.0,11.0,17.0,1.0,,2.0,,,,,,4.0,,1.0,,,,,,,,
kpv_ikdp-ud-test,214,0,,19.0,,,,3.0,,1.0,,6.0,64,,,3.0,,,,3.0,,1.0,,,,,,,,8.0,,13.0,,2.0,,,2.0,,,,,1.0,,,,2.0,,,,,,,
kpv_lattice-ud-test,643,0,1.0,23.0,,,1.0,15.0,1.0,5.0,,7.0,241,,,12.0,,,,2.0,1.0,,,,1.0,,,,,53.0,,76.0,,27.0,,,,,,,,,2.0,,2.0,7.0,4.0,1.0,,,,,
kpv_lattice-ud-train,20,0,,,,,,,,,,1.0,2,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
fi_pud-ud-test,1000,0,7.0,274.0,,,15.0,22.0,,26.0,,3.0,497,,,32.0,4.0,43.0,3.0,37.0,10.0,7.0,6.0,4.0,,,,,,,,,,,,,,,1.0,,1.0,2.0,,,,,,,,,,,
et_edt-ud-dev,3128,0,,582.0,,,43.0,88.0,9.0,14.0,,5.0,1147,11.0,,59.0,28.0,117.0,,152.0,10.0,3.0,5.0,9.0,3.0,,6.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,,
et_edt-ud-train,24615,0,,4576.0,,2.0,360.0,593.0,34.0,150.0,,32.0,8544,54.0,,386.0,170.0,739.0,1.0,1128.0,136.0,38.0,58.0,36.0,4.0,2.0,44.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
et_edt-ud-test,3214,0,,666.0,,1.0,51.0,55.0,3.0,23.0,,1.0,1183,7.0,,58.0,24.0,106.0,,116.0,39.0,4.0,11.0,6.0,1.0,,9.0,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,
koi_uh-ud-train,34,0,,,,,,,,,,2.0,4,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
koi_uh-ud-test,94,0,,,,,,2.0,,,,1.0,22,,,,,,,1.0,,,,,,,,,,9.0,,6.0,,2.0,,,,,,,,,,,,,,1.0,,,,,
arr_tudet-ud-test,674,0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
krl_kkpp-ud-test,228,0,,72.0,,1.0,3.0,10.0,,,,,109,,,3.0,2.0,6.0,1.0,4.0,,1.0,,2.0,,,,,,,,1.0,,,,,1.0,,,,,,,2.0,,,,,,,,,
eu_bdt-ud-train,5396,0,,2188.0,,8.0,182.0,86.0,11.0,310.0,,17.0,3408,,,5.0,19.0,161.0,4.0,74.0,,,1.0,,1.0,,27.0,,5.0,,,237.0,,,,,34.0,,,,,11.0,,25.0,,,,,,1.0,1.0,,
eu_bdt-ud-test,1799,0,,730.0,,2.0,61.0,37.0,1.0,108.0,,12.0,1180,,,1.0,3.0,50.0,,28.0,,,,,1.0,,14.0,,4.0,,,111.0,,,,,4.0,,,,,1.0,,12.0,,,,,,,,,
eu_bdt-ud-dev,1798,0,,748.0,,,67.0,48.0,2.0,98.0,,4.0,1167,,,1.0,5.0,48.0,1.0,28.0,,,,,1.0,,6.0,,3.0,,,83.0,,,,,7.0,,,,,5.0,,11.0,,,,,,,1.0,,
fi_ftb-ud-dev,1875,0,,,,,18.0,10.0,,17.0,,,376,,,10.0,6.0,37.0,1.0,264.0,7.0,,,,1.0,,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,2.0,
fi_ftb-ud-train,14981,0,,,,,204.0,132.0,,241.0,,,3276,,,115.0,40.0,221.0,4.0,2202.0,51.0,,2.0,24.0,,,6.0,,3.0,,,,,,,,,,5.0,,,12.0,,,,,,,,,,11.0,3.0
fi_ftb-ud-test,1867,0,,,,,18.0,12.0,,27.0,,,420,,,20.0,7.0,26.0,,289.0,8.0,,1.0,6.0,,,1.0,,1.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,,1.0,1.0
ab_abnc-ud-test,263,0,,2.0,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
