Treebank,Number of Sentences,Failures,case,amod,obl,conj,nmod,det,appos,orphan,nummod,advcl,parataxis,root,fixed,flat:name,Total,flat,discourse,advmod,list,nsubj,ccomp,dep,iobj,xcomp,cc,acl,csubj,compound:redup,compound,csubj:outer,nmod:poss,compound:lvc,obj,cop,clf,obl:arg,nmod:arg,det:nummod,amod:flat,det:poss,parataxis:insert,parataxis:obj,obl:cmpr,nmod:flat,nummod:gov,ccomp:obj,xcomp:pred,acl:relcl,advcl:cmpr,flat:foreign,advcl:relcl,parataxis:discourse,flat:title,advcl:pred,dislocated,flat:abs,flat:sibl,vocative:cl,mark,flat:range,advmod:det,_,acl:adv,advcl:ccomp,obl:lmod,obl:goal,obl:tmod,advcl:cond,advcl:tcl,obl:soc,obl:benef,obl:manner,acl:ptcp,advcl:manner,nmod:appos,acl:dpct,advcl:fin,acl:attr,advcl:concess,advcl:caus,obl:agent,obl:instr,acl:crel,obl:grad,xcomp:result,obl:source,det:numgov,expl,vocative,advmod:lmod,nmod:tmod,reparandum,dep:infl,obl:subj,advcl:cmp,nsubj:outer,nmod:npmod,case:loc,advmod:tmod,aux:neg,xcomp:ds,compound:svc,nmod:lmod,nmod:part,csubj:cop,nsubj:pass,obl:depict,expl:pass,parataxis:restart,obl:own,aux,csubj:pass,parataxis:trans,nummod:entity,dep:comp,dep:conj
sl_ssj-ud-test,1282,0,945.0,308.0,642.0,77.0,258.0,84.0,13.0,6.0,12.0,1.0,2.0,2.0,1.0,2.0,2353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sl_ssj-ud-dev,1250,0,1057.0,338.0,679.0,116.0,305.0,85.0,17.0,9.0,24.0,,5.0,2.0,,3.0,2641,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sl_ssj-ud-train,10903,0,7928.0,2529.0,5240.0,633.0,2182.0,655.0,89.0,112.0,140.0,1.0,34.0,30.0,12.0,23.0,19629,,1.0,9.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xcl_caval-ud-train,3185,0,,22.0,777.0,70.0,48.0,96.0,14.0,20.0,5.0,82.0,,37.0,19.0,,1263,,,,,,26.0,,1.0,6.0,,26.0,10.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xcl_caval-ud-dev,411,0,,2.0,99.0,11.0,11.0,19.0,2.0,2.0,,12.0,,1.0,2.0,,172,,,,,,2.0,,,1.0,,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xcl_caval-ud-test,550,0,,8.0,107.0,11.0,7.0,13.0,2.0,2.0,,8.0,,4.0,9.0,,182,,,,,,1.0,,,1.0,,7.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hu_szeged-ud-train,910,0,,,1.0,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fa_seraji-ud-dev,599,0,,,,,1.0,,,,,2.0,,,,,10,,,6.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fa_seraji-ud-test,600,0,,,2.0,2.0,,,,,,5.0,,,,,21,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fa_seraji-ud-train,4798,0,,10.0,5.0,2.0,1.0,,,,,24.0,,1.0,4.0,,131,,,79.0,,1.0,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
