Treebank,Number of Sentences,Failures,appos,nmod,vocative,root,obl,conj,nummod,Total,case,parataxis,det:poss,amod,parataxis:obj,acl,iobj,flat,flat:name,det,flat:repeat,orphan,flat:title,ccomp,acl:attr,nmod:appos,acl:dpct,compound:name,advcl:ccomp,obl:instr,csubj,obl:benef,obl:manner,advcl:manner,obj,advcl,nsubj,parataxis:discourse,advcl:pred,discourse,conj:expl,xcomp,flat:redup,advmod,dislocated,compound,nmod:tmod,fixed,obl:arg,reparandum,nsubj:pass,dep,ccomp:reported,acl:relcl
el_gud-ud-train,1071,0,6.0,24.0,26.0,1.0,1.0,5.0,1.0,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el_gud-ud-test,736,0,2.0,7.0,14.0,1.0,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fa_seraji-ud-dev,599,0,,,,,,,,4,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fa_seraji-ud-test,600,0,,,,,,,,6,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fa_seraji-ud-train,4798,0,,,,3.0,,,,20,16.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sga_dipsgg-ud-test,64,0,,,3.0,,,,,4,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pl_pdb-ud-test,2215,0,7.0,,27.0,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pl_pdb-ud-train,17722,0,44.0,,160.0,,,1.0,,235,,,8.0,15.0,4.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pl_pdb-ud-dev,2215,0,10.0,,24.0,,,,,36,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk_iu-ud-dev,673,0,,,1.0,,,,,2,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk_iu-ud-train,5521,0,4.0,,82.0,14.0,,4.0,,144,,2.0,,15.0,,,,,3.0,8.0,8.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk_iu-ud-test,898,0,,,6.0,3.0,,2.0,,12,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sa_vedic-ud-test,2709,0,1.0,,182.0,6.0,,9.0,,289,,,,3.0,,4.0,,60.0,,,,5.0,,6.0,6.0,2.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
sa_vedic-ud-train,21477,0,19.0,,1589.0,19.0,,79.0,1.0,2535,,10.0,,55.0,,43.0,,412.0,,,,71.0,,67.0,3.0,72.0,4.0,1.0,76.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
sa_vedic-ud-dev,2996,0,1.0,,225.0,4.0,1.0,13.0,,344,,,,5.0,,7.0,,53.0,,1.0,,11.0,,7.0,,8.0,,,7.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,
kmr_mg-ud-test,734,0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
hr_set-ud-dev,960,0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
hr_set-ud-train,6914,0,1.0,,14.0,,,1.0,,30,,1.0,,7.0,,,,2.0,,2.0,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
hr_set-ud-test,1136,0,,,3.0,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orv_rnc-ud-dev,943,0,,,24.0,2.0,,1.0,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orv_rnc-ud-train,1868,0,3.0,,122.0,2.0,,2.0,,131,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
orv_rnc-ud-test,717,0,4.0,,32.0,,,1.0,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpg_tuecl-ud-test,350,0,1.0,1.0,14.0,1.0,,1.0,,21,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_circse-ud-test,1263,0,6.0,3.0,150.0,3.0,,30.0,,274,,,,52.0,,9.0,,,,7.0,,,,,,,,,,,,,,,,2.0,,,7.0,1.0,1.0,2.0,1.0,,,,,,,,,,,
grc_perseus-ud-dev,1137,0,,7.0,19.0,,,1.0,,33,,,,,,,,,,1.0,,,,,,,,,,,,,,,4.0,,,,,,,,,1.0,,,,,,,,,,
grc_perseus-ud-train,11476,0,,238.0,804.0,,14.0,1.0,,1104,,,,32.0,,,,,,,,,,,,,,,,,,,,,6.0,3.0,2.0,,,,,3.0,,1.0,,,,,,,,,,
grc_perseus-ud-test,1306,0,,23.0,66.0,,1.0,5.0,,101,,,,3.0,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,
qpm_philotis-ud-train,980,0,1.0,4.0,55.0,2.0,,3.0,,70,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,2.0,,,2.0,,,,,,,,,,,,,,
qpm_philotis-ud-dev,635,0,,1.0,21.0,1.0,,,,25,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
qpm_philotis-ud-test,635,0,,1.0,23.0,2.0,,,,33,,1.0,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,
la_perseus-ud-test,939,0,,,31.0,,,1.0,,37,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
la_perseus-ud-train,1334,0,,5.0,58.0,,,1.0,,73,,,,3.0,,,,,2.0,3.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
sk_snk-ud-train,8483,0,,4.0,34.0,4.0,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lt_hse-ud-train,153,0,,,1.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ess_sli-ud-test,309,0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
hit_hittb-ud-test,136,0,,,2.0,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sa_ufal-ud-test,230,0,,,13.0,,,,,14,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
be_hse-ud-train,22853,0,,,10.0,1.0,,1.0,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
be_hse-ud-dev,1301,0,,,1.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
be_hse-ud-test,1077,0,,,1.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_pud-ud-test,1000,0,,,1.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orv_ruthenian-ud-test,390,0,2.0,,6.0,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,
orv_ruthenian-ud-train,2789,0,1.0,,3.0,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,
orv_ruthenian-ud-dev,344,0,,,1.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ml_ufal-ud-test,218,0,,,,1.0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
egy_ujaen-ud-test,721,0,,,26.0,,,2.0,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
ro_nonstandard-ud-test,1052,0,3.0,1.0,43.0,1.0,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
ro_nonstandard-ud-dev,1052,0,1.0,,47.0,,,,,54,,,,3.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
ro_nonstandard-ud-train,24121,0,60.0,37.0,1287.0,1.0,5.0,16.0,,1689,,2.0,,234.0,,,18.0,6.0,,,,,,,,,,,,,,,,,6.0,1.0,12.0,,,,,2.0,,,,1.0,1.0,,,,,,,
ro_simonero-ud-train,3747,0,2.0,,,,,2.0,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mr_ufal-ud-dev,46,0,,,1.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mr_ufal-ud-test,47,0,,,1.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
