Treebank,Number of Sentences,Failures,Total,_,acl,acl:attr,acl:dpct,acl:ptcp,acl:relcl,advcl,advcl:ccomp,advcl:cmp,advcl:cond,advcl:dpct,advcl:fin,advcl:manner,advcl:pred,advcl:relcl,advcl:tcl,advmod,amod,appos,appos:trans,cc,ccomp,ccomp:obj,ccomp:relcl,ccomp:reported,compound,compound:coord,compound:lvc,compound:prt,compound:redup,conj:expl,csubj,csubj:pass,csubj:relcl,dep,discourse,dislocated,dislocated:csubj,dislocated:nsubj,dislocated:obj,dislocated:obl,fixed,flat,flat:abs,flat:foreign,flat:name,flat:redup,flat:repeat,flat:sibl,flat:title,iobj,list,nmod,nmod:appos,nmod:arg,nmod:att,nmod:flat,nmod:obj,nmod:poss,nmod:tmod,nsubj,nsubj:cop,nsubj:outer,nsubj:pass,nummod,nummod:gov,obj,obj:lvc,obl,obl:agent,obl:arg,obl:benef,obl:cmp,obl:cmpr,obl:dat,obl:goal,obl:grad,obl:instr,obl:lmod,obl:manner,obl:path,obl:pmod,obl:soc,obl:source,obl:tmod,orphan,orphan:missing,parataxis,parataxis:discourse,parataxis:insert,parataxis:obj,parataxis:trans,reparandum,root,vocative,xcomp,xcomp:pred,xcomp:result
sl_ssj-ud-test,1282,0,1141,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,1.0,,146.0,,,,,,,,1.0,,,,,,624.0,,321.0,,,,,,,,,,,,,,,,,,,9.0,,,,,,4.0,,8.0,,
sl_ssj-ud-dev,1250,0,1189,,,,,,,,,,,,,,,,,,1.0,14.0,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,6.0,,181.0,,,,,,,,,,,,,,634.0,,332.0,,,,,,,,,,,,,,,,,2.0,,4.0,,,,,,3.0,,4.0,,
sl_ssj-ud-train,10903,0,9640,,,,,,,5.0,,,,,,,,,,,,112.0,,,,,,,,,,,,,,,,1.0,2.0,,,,,,67.0,,,,,,,,,62.0,12.0,1303.0,,,,,,,,2.0,,,,,,5186.0,,2696.0,,,,,,,,,,,,,,,,,38.0,,55.0,,,,,,26.0,,73.0,,
xcl_caval-ud-train,3185,0,2866,,3.0,,,,,10.0,,,,,,,,,,,2.0,44.0,,,11.0,,,,1.0,,,,1.0,,,,,,,3.0,,,,,5.0,,,,1.0,,,,,,,39.0,,,,,,,,1.0,,,,,,1765.0,,816.0,,76.0,,,,,,,,,,,,,,,26.0,,,,,,,,5.0,,57.0,,
xcl_caval-ud-dev,411,0,418,,,,,,,1.0,,,,,,,,,,,1.0,9.0,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,6.0,,,,,,,,,,,,,,266.0,,112.0,,6.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,11.0,,
xcl_caval-ud-test,550,0,488,,1.0,,,,,1.0,,,,,,,,,,,2.0,7.0,,,2.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,303.0,,146.0,,13.0,,,,,,,,,,,,,,,1.0,,,,,,,,2.0,,6.0,,
hu_szeged-ud-dev,441,0,409,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,400.0,3.0,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
hu_szeged-ud-test,449,0,385,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,368.0,12.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
hu_szeged-ud-train,910,0,684,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,649.0,27.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,1.0,,,,
el_gud-ud-train,1071,0,1133,,,,,,,,,,,,,,,,,1.0,1.0,5.0,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,79.0,,,,,,,,7.0,,,1.0,,,521.0,,491.0,5.0,,,,,,,,,,,,,,,,2.0,,,,,,,,13.0,,4.0,,
