Treebank,Number of Sentences,Failures,Total,acl,acl:relcl,advcl,advmod,amod,appos,case,case:loc,cc,compound,compound:lvc,compound:prt,conj,csubj,dep,det,dislocated,fixed,flat,iobj,list,mark,nmod,nmod:npmod,nmod:poss,nsubj,obj,obl,obl:lmod,obl:tmod,orphan,parataxis,root,xcomp
fi_ood-ud-test,2122,0,219,,,,,,,218,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
de_hdt-ud-test,18459,0,105,,,,,,,105,,,,,,,,,,,,,,,,,,,,,,,,,,,
de_hdt-ud-train,153035,0,994,,,,,,,994,,,,,,,,,,,,,,,,,,,,,,,,,,,
de_hdt-ud-dev,18434,0,91,,,,,,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,
pl_pdb-ud-test,2215,0,5,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
pl_pdb-ud-train,17722,0,59,,,,,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,
pl_pdb-ud-dev,2215,0,5,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
hi_hdtb-ud-train,13306,0,58711,,1.0,,31.0,12.0,,52380,,,128.0,,,15.0,,2.0,,241.0,,,,,5349.0,68.0,,,1.0,6.0,462.0,,,,,10.0,5.0
hi_hdtb-ud-dev,1659,0,7302,,,,3.0,1.0,,6556,,,18.0,,,1.0,,,,31.0,,,,,616.0,12.0,,,,,63.0,,,,,1.0,
hi_hdtb-ud-test,1684,0,7439,,,,2.0,1.0,,6641,,,17.0,,,2.0,,,,33.0,,,,,671.0,8.0,,,,1.0,62.0,,,,,1.0,
kmr_mg-ud-train,20,0,6,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
kmr_mg-ud-test,734,0,464,,,,,,,444,,,,,,,,6.0,,,5.0,3.0,,,,2.0,,,4.0,,,,,,,,
la_perseus-ud-test,939,0,4,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_perseus-ud-train,1334,0,13,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,
sms_giellagas-ud-test,230,0,18,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,
et_ewt-ud-train,5444,0,817,,,,1.0,,,815,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
et_ewt-ud-test,913,0,176,,,,,,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,
et_ewt-ud-dev,833,0,153,,,,,,,153,,,,,,,,,,,,,,,,,,,,,,,,,,,
si_stb-ud-test,100,0,94,,,,5.0,,,49,,,,,,,,39.0,,,,,,,1.0,,,,,,,,,,,,
olo_kkpp-ud-test,106,0,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
olo_kkpp-ud-train,19,0,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
hy_bsut-ud-train,1226,0,564,,,,,,,528,17.0,2.0,,5.0,,3.0,,,,,2.0,,,,,,,,,,7.0,,,,,,
hy_bsut-ud-test,595,0,305,,,,,,,286,7.0,,2.0,2.0,,,1.0,,,,3.0,,,,,,,,,,3.0,,,,,1.0,
hy_bsut-ud-dev,479,0,315,,,,,,,302,4.0,1.0,,2.0,,,,,,,5.0,,,,,,,,,,1.0,,,,,,
mdf_jr-ud-test,454,0,14,,,,,,,9,,,,,,,,,,,,,,,,1.0,,,,,2.0,2.0,,,,,
vep_vwt-ud-test,103,0,16,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
fi_tdt-ud-train,12217,0,2134,,,,,,,2125,,,,,,3.0,,,,,4.0,,,,,,,,,,,,,,,2.0,
fi_tdt-ud-test,1555,0,250,,,,,,,249,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
fi_tdt-ud-dev,1364,0,240,,,,,,,238,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,
myv_jr-ud-test,921,0,177,,,,,,,167,,,,,,,,,,,2.0,,,,,,,,1.0,,7.0,,,,,,
myv_jr-ud-train,1217,0,167,,1.0,,,1.0,,149,,,,,,,,,,,1.0,,,,,,,,,,10.0,4.0,,,,1.0,
bho_bhtb-ud-test,357,0,991,2.0,,,,7.0,,894,,,37.0,,,,,,1.0,,3.0,,,1.0,24.0,5.0,,,10.0,,4.0,,,,,1.0,2.0
kpv_ikdp-ud-test,214,0,7,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
kpv_lattice-ud-test,643,0,235,,,,,,1.0,227,,,,,,,,,,,,,,,,,,,,,4.0,2.0,1.0,,,,
nds_lsdc-ud-train,500,0,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
nds_lsdc-ud-test,500,0,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
fi_pud-ud-test,1000,0,286,,,1.0,,,,283,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,
hy_armtdp-ud-train,1974,0,1071,1.0,,1.0,,,,1011,35.0,,,5.0,,1.0,,1.0,,,7.0,,,,,,,,,,8.0,,,,1.0,,
hy_armtdp-ud-dev,249,0,162,,,,,,,160,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
hy_armtdp-ud-test,277,0,123,1.0,,,,,,112,4.0,,,2.0,,,,,,,2.0,,,,,,,,,,1.0,,,,,1.0,
et_edt-ud-dev,3128,0,684,,,,,,,683,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
et_edt-ud-train,24615,0,5826,,,1.0,,,,5813,,,,,1.0,4.0,,,,,,,,,,2.0,,,,,,,,,5.0,,
et_edt-ud-test,3214,0,730,,,,,,,729,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
koi_uh-ud-train,34,0,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
koi_uh-ud-test,94,0,16,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
hyw_armtdp-ud-test,680,0,465,,,,,,,452,7.0,,1.0,2.0,,,,,,,1.0,,,,,,,,,,2.0,,,,,,
hyw_armtdp-ud-dev,694,0,489,,,,,,,458,20.0,,1.0,,,2.0,,,,,,,,,,,,,,,7.0,,,,,1.0,
hyw_armtdp-ud-train,5282,0,3345,,,,,,1.0,3204,54.0,1.0,3.0,18.0,,4.0,,1.0,,,13.0,,,,,,1.0,1.0,,1.0,40.0,,,1.0,1.0,,1.0
ka_glc-ud-test,151,0,153,,,,,,,152,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
xnr_kdtb-ud-test,288,0,312,,,1.0,,,,291,,,4.0,,,,,,,,,,,,13.0,1.0,,,1.0,,1.0,,,,,,
ta_mwtt-ud-test,534,0,63,,,,,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,
