Treebank,Number of Sentences,Failures,Total,_,acl,acl:relcl,advcl,advmod,advmod:mode,amod,appos,aux,aux:pass,case,ccomp,compound,compound:nn,compound:prt,conj,cop,csubj,csubj:cop,dep,det,discourse,expl,fixed,flat,flat:name,mark,nmod,nmod:att,nmod:obl,nmod:poss,nsubj,nsubj:cop,nummod,obj,obl,orphan,parataxis,root,xcomp,xcomp:ds
hu_szeged-ud-dev,441,0,21,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,4.0,,,,,,16.0,,,,,
hu_szeged-ud-test,449,0,34,,,,,,1.0,,1.0,,,,,,,,2.0,,,,,,,,,,,,,1.0,1.0,,,,,,26.0,2.0,,,,
hu_szeged-ud-train,910,0,25,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,3.0,,,,,,20.0,,,,,
fi_ood-ud-test,2122,0,449,,6.0,11.0,15.0,1.0,,30.0,,,,,7.0,,,,20.0,,,2.0,,28.0,1.0,,,,1.0,,14.0,,,1.0,,,2.0,,254.0,5.0,4.0,45.0,2.0,
et_ewt-ud-train,5444,0,1257,,26.0,19.0,39.0,,,107.0,4.0,,,,13.0,,,,73.0,,3.0,,,93.0,,,,5.0,,,46.0,,,,,,2.0,,673.0,2.0,10.0,142.0,,
et_ewt-ud-test,913,0,244,,3.0,1.0,4.0,,,13.0,,,,,1.0,,,,13.0,,2.0,,,27.0,,,,6.0,,,8.0,,,,,,5.0,,132.0,1.0,3.0,25.0,,
et_ewt-ud-dev,833,0,190,,1.0,1.0,4.0,,,14.0,,,,,2.0,,,,7.0,,1.0,,1.0,24.0,,,,,,,9.0,,,,,,,,90.0,,5.0,31.0,,
olo_kkpp-ud-test,106,0,37,,,,,,,5.0,,,,,,,,,6.0,,,,,,,,,,,,,,,,2.0,1.0,,,19.0,3.0,1.0,,,
vep_vwt-ud-test,103,0,49,,,1.0,,,,7.0,1.0,,,,,,,,4.0,,,,,,,,,,,,2.0,,,,,,1.0,1.0,30.0,,,2.0,,
fi_tdt-ud-train,12217,0,3317,1.0,64.0,55.0,183.0,2.0,,317.0,8.0,2.0,,2.0,58.0,3.0,2.0,,217.0,1.0,3.0,4.0,,211.0,,,,,16.0,,198.0,,,,,,25.0,,1581.0,30.0,9.0,310.0,8.0,7.0
fi_tdt-ud-test,1555,0,384,,6.0,4.0,17.0,,,41.0,4.0,,,,7.0,,1.0,,39.0,,,,,10.0,,,1.0,,3.0,,22.0,,,,,,3.0,,181.0,8.0,,35.0,1.0,1.0
fi_tdt-ud-dev,1364,0,374,,19.0,4.0,14.0,,,28.0,3.0,,1.0,,8.0,,,,23.0,,,1.0,,21.0,,,,,,,28.0,,,,,,4.0,,175.0,5.0,2.0,36.0,1.0,1.0
fi_pud-ud-test,1000,0,315,,3.0,13.0,22.0,,,28.0,1.0,,,,11.0,,,,22.0,,,,,23.0,,,,,4.0,,21.0,,,,,,2.0,,134.0,,2.0,27.0,1.0,1.0
et_edt-ud-dev,3128,0,1123,,22.0,9.0,24.0,,,110.0,6.0,,,,15.0,,,,58.0,,1.0,,,80.0,,,,2.0,,,71.0,,,,,1.0,11.0,,640.0,4.0,10.0,58.0,1.0,
et_edt-ud-train,24615,0,8140,,147.0,75.0,149.0,,,798.0,27.0,,,3.0,127.0,2.0,,,352.0,,9.0,3.0,,614.0,,,4.0,37.0,,,546.0,,,,1.0,,59.0,,4572.0,41.0,56.0,517.0,1.0,
et_edt-ud-test,3214,0,1057,,13.0,7.0,17.0,,,92.0,4.0,,,,8.0,,,,34.0,,1.0,,,78.0,,,2.0,6.0,,,58.0,,,,,,8.0,,640.0,4.0,5.0,80.0,,
krl_kkpp-ud-test,228,0,102,,,,,,,12.0,2.0,,,4.0,,1.0,,,10.0,,,,,2.0,,,1.0,,,,,,,,,1.0,,,64.0,,1.0,3.0,1.0,
fi_ftb-ud-dev,1875,0,333,,3.0,,11.0,,,20.0,,,,,,,1.0,,9.0,,,,,27.0,,1.0,1.0,,,,253.0,,,,,,,,,,,7.0,,
fi_ftb-ud-train,14981,0,2528,,15.0,,90.0,,,201.0,,,,,,,,1.0,114.0,,,,1.0,189.0,,11.0,,11.0,,1.0,1843.0,,,,,,28.0,1.0,,,,22.0,,
fi_ftb-ud-test,1867,0,332,,6.0,,12.0,,,34.0,,,,,,,,1.0,14.0,,,,,22.0,,,,2.0,,,230.0,,,,,,5.0,,,,,6.0,,
