Treebank,Number of Sentences,Failures,Total,advmod,advmod:emph,case,cc,ccomp,conj,fixed,mark,orphan
de_hdt-ud-test,18459,0,2014,,,1716.0,2.0,,,,296.0,
de_hdt-ud-train,153035,0,16287,2.0,,13842.0,10.0,,,,2433.0,
de_hdt-ud-dev,18434,0,1792,1.0,,1533.0,1.0,,,,257.0,
pl_pdb-ud-test,2215,0,104,,,,,,,,104.0,
pl_pdb-ud-train,17722,0,818,,,,,,,,818.0,
pl_pdb-ud-dev,2215,0,95,,,,,,,,95.0,
hy_bsut-ud-train,1226,0,93,1.0,2.0,,80.0,,1.0,9.0,,
hy_bsut-ud-test,595,0,37,1.0,1.0,,29.0,,1.0,5.0,,
hy_bsut-ud-dev,479,0,46,,,,38.0,,,8.0,,
hy_armtdp-ud-train,1974,0,265,17.0,34.0,,190.0,,1.0,21.0,,2.0
hy_armtdp-ud-dev,249,0,33,1.0,5.0,,22.0,,,4.0,1.0,
hy_armtdp-ud-test,277,0,23,2.0,2.0,,19.0,,,,,
hyw_armtdp-ud-test,680,0,14,,,,14.0,,,,,
hyw_armtdp-ud-dev,694,0,3,,,,3.0,,,,,
hyw_armtdp-ud-train,5282,0,91,1.0,,,86.0,1.0,3.0,,,
pl_pud-ud-test,1000,0,55,,,,,,,,55.0,
