Treebank,Number of Sentences,Failures,Total,acl,acl:relcl,advcl,advcl:cleft,advmod,advmod:emph,amod,appos,case,ccomp,compound,compound:affix,compound:smixut,conj,csubj,dep,det,discourse,dislocated,fixed,flat,flat:name,iobj,mark,nmod,nmod:poss,nsubj,nsubj:cop,nsubj:outer,nsubj:pass,nummod,obj,obl,obl:arg,obl:npmod,obl:tmod,orphan,parataxis,parataxis:parenth,reparandum,root,vocative,xcomp
he_iahltwiki-ud-train,4298,0,9091,29.0,71.0,15.0,,3.0,,97.0,186.0,2.0,13.0,1020.0,1.0,,645.0,2.0,7.0,181.0,,5.0,407.0,7.0,,,,1476.0,346.0,865,,16.0,165.0,194.0,510.0,2494.0,,1.0,5.0,13.0,50.0,,,230.0,,35.0
he_iahltwiki-ud-dev,348,0,752,6.0,12.0,1.0,,,,6.0,26.0,,,76.0,,,52.0,,,14.0,,,26.0,1.0,,,,124.0,46.0,91,,2.0,20.0,6.0,54.0,169.0,,,,,3.0,,,16.0,,1.0
he_iahltwiki-ud-test,393,0,972,4.0,6.0,3.0,,,,7.0,32.0,,,95.0,,,72.0,,3.0,21.0,,,50.0,1.0,,,,151.0,33.0,89,,1.0,25.0,13.0,64.0,273.0,,,,,4.0,,,24.0,,1.0
hit_hittb-ud-test,136,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
say_autogramm-ud-test,1864,0,93,,,2.0,,,,4.0,2.0,,1.0,2.0,,,2.0,,2.0,,,14.0,,,,,,5.0,,5,,,,,16.0,6.0,5.0,,,,,,3.0,8.0,,16.0
egy_ujaen-ud-test,721,0,181,,,1.0,,1.0,,,5.0,,,,,,,,,,,3.0,1.0,,,,,11.0,,28,,,1.0,,88.0,27.0,,,,,,,,14.0,1.0,
ar_padt-ud-dev,909,0,3421,,,,,,,71.0,17.0,,1.0,,,,253.0,,18.0,,,3.0,71.0,,,2.0,,1296.0,,411,,,22.0,100.0,200.0,563.0,326.0,,,4.0,2.0,,,46.0,,15.0
ar_padt-ud-train,6075,0,27070,7.0,7.0,15.0,,2.0,1.0,466.0,90.0,,17.0,,,,2267.0,3.0,132.0,,,50.0,711.0,,,11.0,,10320.0,,3156,,,117.0,926.0,1689.0,3699.0,2974.0,,,18.0,44.0,,,276.0,,72.0
ar_padt-ud-test,680,0,3474,1.0,2.0,2.0,,,,51.0,6.0,,2.0,,,,243.0,1.0,19.0,,,5.0,86.0,,,2.0,,1337.0,,387,,,19.0,136.0,233.0,477.0,422.0,,,3.0,3.0,,,24.0,,13.0
ha_southernautogramm-ud-test,1918,0,661,,12.0,5.0,17.0,7.0,,12.0,19.0,82.0,13.0,5.0,,,27.0,,4.0,1.0,6.0,40.0,12.0,2.0,4.0,,3.0,43.0,,56,,,,3.0,99.0,25.0,40.0,,,,5.0,1.0,11.0,88.0,,19.0
he_htb-ud-train,5168,0,9125,140.0,37.0,26.0,,28.0,,65.0,147.0,,13.0,,,846.0,545.0,,228.0,644.0,,2.0,219.0,,50.0,,,1624.0,244.0,1086,44.0,4.0,,353.0,503.0,2157.0,,,,,11.0,,,102.0,,7.0
he_htb-ud-dev,484,0,786,8.0,1.0,,,8.0,,13.0,10.0,,3.0,,,76.0,51.0,,8.0,67.0,,,20.0,,,,,127.0,11.0,91,8.0,,,32.0,44.0,195.0,,,,,1.0,,,12.0,,
he_htb-ud-test,491,0,890,11.0,3.0,1.0,,4.0,,10.0,17.0,,1.0,,,66.0,62.0,,18.0,48.0,,,12.0,,8.0,,,214.0,20.0,105,5.0,,,34.0,53.0,173.0,,,,,,,,24.0,,1.0
ha_northernautogramm-ud-test,400,0,142,,,,1.0,,,13.0,1.0,5.0,3.0,2.0,,,7.0,,,,,4.0,,,,,,9.0,,20,,,,,25.0,13.0,15.0,,,,,,2.0,15.0,,7.0
