Treebank,Number of Sentences,Failures,Total,acl:relcl,advcl,advmod,amod,appos,ccomp,compound,conj,dep,det,dislocated,flat,flat:name,iobj,list,nmod,nmod:appos,nsubj,nsubj:pass,nummod,obj,obl,obl:agent,obl:arg,obl:mod,orphan,parataxis,reparandum,root,vocative,xcomp
pt_gsd-ud-dev,1204,0,55,,,1.0,,16.0,,,7.0,,,,,,,,16.0,,4.0,1.0,,,5.0,3.0,,,,1.0,,1.0,,
pt_gsd-ud-test,1200,0,136,,,,,31.0,,,25.0,,,,,1.0,,,27.0,,11.0,5.0,,5.0,20.0,7.0,,,,1.0,,3.0,,
pt_gsd-ud-train,9616,0,1141,,1.0,,,290.0,,,202.0,,3.0,,,5.0,,,312.0,,104.0,9.0,,48.0,124.0,16.0,,,,5.0,,13.0,,9.0
fr_gsd-ud-test,416,0,14,,,,,6.0,,,,,,,,,,,8.0,,,,,,,,,,,,,,,
fr_gsd-ud-train,14450,0,553,4.0,,,,245.0,,,47.0,1.0,,,,1.0,,,111.0,,45.0,6.0,,24.0,,4.0,15.0,23.0,2.0,2.0,,7.0,,16.0
fr_gsd-ud-dev,1476,0,56,,,,,24.0,,,1.0,,,,,,,,16.0,,6.0,,,2.0,,1.0,1.0,4.0,,,,1.0,,
fr_rhapsodie-ud-train,1288,0,4,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,1.0,,,,,,
fr_rhapsodie-ud-dev,1081,0,4,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,2.0,,
fr_rhapsodie-ud-test,840,0,8,,,,,,,,,,,2.0,,,,,1.0,,,,,2.0,,,2.0,,,,,,,1.0
fr_parisstories-ud-dev,692,0,2,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,
fr_parisstories-ud-train,1387,0,1,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
fr_parisstories-ud-test,697,0,11,,,,,,,,1.0,4.0,,3.0,,,,,,,,,,,,,1.0,,,,,,2.0,
pt_bosque-ud-dev,1172,0,550,,1.0,,,133.0,,,87.0,,1.0,,,1.0,2.0,,137.0,,98.0,1.0,2.0,7.0,36.0,8.0,,,,5.0,,30.0,,1.0
pt_bosque-ud-test,1167,0,453,,,,,99.0,,,48.0,,2.0,,,,,,120.0,,94.0,4.0,,14.0,45.0,12.0,,,,2.0,,12.0,1.0,
pt_bosque-ud-train,7018,0,3158,3.0,3.0,1.0,2.0,727.0,1.0,,352.0,,3.0,,2.0,1.0,2.0,1.0,880.0,,560.0,25.0,,92.0,275.0,77.0,,,,31.0,,107.0,1.0,12.0
pcm_nsc-ud-dev,990,0,8,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,4.0,,,,,,,2.0
pcm_nsc-ud-train,7279,0,204,1.0,,,,6.0,,9.0,9.0,,,16.0,2.0,,,,49.0,,13.0,,,19.0,,2.0,45.0,11.0,,3.0,1.0,11.0,1.0,6.0
pcm_nsc-ud-test,972,0,27,,,,,2.0,,1.0,,,,,1.0,,,,7.0,,4.0,,,4.0,,,5.0,1.0,,,,2.0,,
fr_sequoia-ud-test,456,0,1,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
fr_sequoia-ud-train,2231,0,3,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,
fr_sequoia-ud-dev,412,0,1,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
