Treebank,Number of Sentences,Failures,Total,acl,acl:relcl,advcl,advcl:cmp,advcl:pred,advcl:relcl,advmod,advmod:emph,advmod:lmod,advmod:tmod,cc,ccomp,ccomp:relcl,ccomp:reported,conj,conj:expl,csubj,csubj:pass,csubj:relcl,det,discourse,fixed,mark,nmod,nsubj,nsubj:outer,nsubj:pass,obj,obl,obl:agent,obl:arg,obl:cmp,obl:smod,obl:tmod,orphan,parataxis,root,xcomp,xcomp:pred
la_circse-ud-test,1263,0,190,1.0,,1.0,,1.0,,14.0,1.0,2.0,,80.0,,,,4.0,,,,,39.0,33.0,,,1.0,3.0,,1.0,1.0,,1.0,1.0,,,,2.0,,4.0,,
la_llct-ud-dev,850,0,4,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_llct-ud-test,884,0,2,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_llct-ud-train,7289,0,21,,,,,,,20.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gv_cadhan-ud-test,1164,0,6,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,1.0,,,1.0
gv_cadhan-ud-train,1172,0,6,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,1.0,2.0,,
ga_idt-ud-train,4005,0,19,,,2.0,,,,,,,,,2.0,,,,,,,,,,,,1.0,2.0,,,,4.0,,,,,,,1.0,7.0,,
ga_idt-ud-test,454,0,2,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
la_udante-ud-train,926,0,515,,1.0,,1.0,4.0,1.0,42.0,3.0,13.0,17.0,42.0,,1.0,2.0,5.0,,2.0,,,103.0,144.0,,6.0,12.0,54.0,,7.0,15.0,31.0,,7.0,,,,,,2.0,,
la_udante-ud-test,419,0,261,1.0,,,,1.0,,13.0,1.0,3.0,5.0,35.0,2.0,,,3.0,,,,1.0,47.0,66.0,,13.0,1.0,20.0,,9.0,22.0,8.0,,3.0,1.0,,,5.0,,1.0,,
la_udante-ud-dev,376,0,211,,1.0,2.0,,1.0,,18.0,4.0,11.0,6.0,40.0,,,,1.0,,,,,33.0,58.0,,8.0,,12.0,,1.0,7.0,6.0,1.0,,,,,1.0,,,,
gd_arcosg-ud-test,545,0,122,,,,,,,,,,,,,,,1.0,,,,,,,,,11.0,88.0,,,,7.0,,,,,1.0,,,11.0,,3.0
gd_arcosg-ud-train,3541,0,502,,1.0,5.0,,,,,,,,,2.0,,,3.0,,,,,,,,,26.0,338.0,,,10.0,63.0,,,,2.0,,,2.0,8.0,,42.0
gd_arcosg-ud-dev,655,0,82,,,1.0,,,,,,,,,,,,3.0,,,,,,,,,7.0,60.0,,,,6.0,,,,,,,,2.0,,3.0
la_ittb-ud-dev,2101,0,299,2.0,2.0,4.0,2.0,,,37.0,,,,,2.0,,,2.0,1.0,,,,120.0,,,,24.0,48.0,,5.0,12.0,15.0,,11.0,,,,,,11.0,1.0,
la_ittb-ud-test,2101,0,294,,8.0,6.0,3.0,,3.0,49.0,,,,,,,,11.0,,3.0,1.0,,80.0,,,,24.0,40.0,,3.0,10.0,25.0,3.0,11.0,,,,,,11.0,3.0,
la_ittb-ud-train,22775,0,3588,7.0,27.0,61.0,12.0,1.0,9.0,652.0,2.0,,,17.0,9.0,2.0,,82.0,2.0,31.0,3.0,4.0,1307.0,4.0,1.0,2.0,316.0,319.0,5.0,42.0,114.0,222.0,30.0,146.0,,,,17.0,,99.0,43.0,
ga_cadhan-ud-test,193,0,6,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,1.0,2.0,,
