Treebank,Number of Sentences,Failures,Total,_,acl,acl:relcl,advcl,amod,appos,aux,aux:pass,ccomp,conj,cop,csubj,csubj:pass,dep,det,dislocated,flat:foreign,nmod,nsubj,nsubj:pass,nummod,nummod:gov,obj,obl,orphan,parataxis,root,xcomp
cs_pud-ud-test,1000,0,318,,8.0,30.0,24.0,1.0,,,27.0,13.0,39.0,24.0,4.0,,,4.0,,,,1.0,,7.0,,1.0,,,1.0,129.0,5.0
cu_proiel-ud-train,18327,0,53,,2.0,,,1.0,,,,,1.0,,,,,20.0,,,,,,25.0,,1.0,,,,3.0,
cu_proiel-ud-test,2096,0,3,,,,,,,,,,,,,,,1.0,,,,,,2.0,,,,,,,
cu_proiel-ud-dev,2205,0,5,,,,,,,,,,,,,,,3.0,,,,,,1.0,,,,,,1.0,
la_proiel-ud-dev,1233,0,1,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
la_proiel-ud-train,16196,0,5,,1.0,,,,,,,,,,,,,2.0,,,,,,,,,1.0,,,1.0,
nds_lsdc-ud-test,500,0,3,,,,,1.0,,,,,,,,,,1.0,,,,,,,,1.0,,,,,
cs_cltt-ud-dev,316,0,47,,,13.0,6.0,3.0,,,2.0,2.0,10.0,,,,7.0,,,,,,,,,,,,1.0,3.0,
cs_cltt-ud-train,467,0,42,,1.0,15.0,,4.0,,,2.0,1.0,8.0,1.0,,,,,,,,,,,,3.0,,,,6.0,1.0
cs_cltt-ud-test,338,0,57,1.0,1.0,7.0,6.0,4.0,,,3.0,5.0,2.0,1.0,,,5.0,,,,,1.0,,2.0,,1.0,,,4.0,14.0,
got_proiel-ud-dev,985,0,3,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,
got_proiel-ud-train,3387,0,4,,,,,1.0,,,,,,,,,,,,,1.0,2.0,,,,,,,,,
cs_pdt-ud-test,10146,0,2032,153.0,52.0,164.0,105.0,31.0,9.0,4.0,103.0,97.0,216.0,123.0,15.0,3.0,9.0,45.0,,,,2.0,,80.0,2.0,6.0,1.0,4.0,18.0,775.0,15.0
cs_pdt-ud-dev,9270,0,1551,75.0,30.0,152.0,88.0,21.0,7.0,,87.0,108.0,153.0,82.0,18.0,1.0,5.0,39.0,,,,2.0,,72.0,,2.0,1.0,,8.0,588.0,12.0
cs_pdt-ud-train,68491,0,12185,720.0,270.0,1140.0,591.0,238.0,33.0,24.0,619.0,667.0,1223.0,682.0,105.0,21.0,56.0,284.0,,,,13.0,2.0,541.0,1.0,26.0,8.0,7.0,69.0,4775.0,70.0
orv_torot-ud-test,2955,0,1,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
orv_torot-ud-dev,3061,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
cs_cac-ud-dev,603,0,79,1.0,1.0,4.0,2.0,3.0,,1.0,5.0,4.0,11.0,3.0,,,,3.0,,,,,,,,,,,1.0,40.0,
cs_cac-ud-train,23478,0,4009,54.0,81.0,335.0,204.0,118.0,5.0,20.0,297.0,128.0,521.0,292.0,35.0,4.0,22.0,119.0,,1.0,,2.0,,172.0,,17.0,4.0,8.0,18.0,1511.0,41.0
cs_cac-ud-test,628,0,78,,3.0,2.0,7.0,3.0,,,4.0,3.0,7.0,5.0,,,,4.0,,,,,,3.0,,1.0,,,1.0,34.0,1.0
