Treebank,Number of Sentences,Failures,Total,_,acl,acl:relcl,advcl,advcl:cleft,advcl:cmp,advcl:cond,advcl:quote,advcl:relcl,advmod,amod,appos,aux,aux:aspect,aux:caus,aux:cnd,aux:pass,aux:tense,case,cc,ccomp,ccomp:obj,ccomp:obl,ccomp:quote,ccomp:reported,ccomp:speech,compound,compound:lvc,compound:redup,compound:svc,conj,cop,cop:own,csubj,csubj:cleft,csubj:cop,csubj:pass,dep,dep:infl,discourse,fixed,flat,flat:name,mark,nmod,nmod:poss,nsubj,obj,obl,orphan,parataxis,parataxis:discourse,parataxis:insert,parataxis:parenth,reparandum,root,xcomp,xcomp:obj
sl_ssj-ud-test,1282,0,130,,,,1.0,,,,,,,,,129.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sl_ssj-ud-dev,1250,0,172,,,,,,,,,,,,,172.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sl_ssj-ud-train,10903,0,1146,,,,1.0,,,,,,,,,1141.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,
hu_szeged-ud-dev,441,0,69,,2.0,,10.0,,,,,,,,,1.0,,,,,,,,5.0,4.0,,,,,,,,,17.0,3.0,,2.0,,,,,,,,,,,,,,,,,1.0,,,,,24.0,,
hu_szeged-ud-test,449,0,40,,4.0,,2.0,,,,,,,,,11.0,,,,,,,,,3.0,,,,,,,,,5.0,5.0,,3.0,,,,,,,,,,,,,,,,,,,,,,7.0,,
hu_szeged-ud-train,910,0,50,,6.0,,3.0,,,,,,,,,7.0,,,,,,,,2.0,2.0,2.0,,,,,,,,3.0,8.0,,1.0,,,,,,,,,,,,,,,,,,,,,,16.0,,
tr_pud-ud-test,1000,0,54,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
es_gsd-ud-test,426,0,20,,,1.0,3.0,,,,,,,,1.0,5.0,,,,,,,,2.0,,,,,,,,,,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
es_gsd-ud-dev,1400,0,57,,,10.0,4.0,,,,,,,,1.0,12.0,,,,4.0,,,,4.0,,,,,,,,,,2.0,6.0,,,,,,,,,,,,,,,,,,,1.0,,,,,13.0,,
es_gsd-ud-train,14187,0,526,,,90.0,23.0,,,,,,,,,120.0,,,,13.0,,,,33.0,,,,,,,,,,45.0,55.0,,4.0,,,,,,,,,,,,,,,,,17.0,,,,,125.0,1.0,
