Treebank,Number of Sentences,Failures,Total,_,acl,advcl,advcl:eval,amod,appos,aux,aux:pass,ccomp,compound,compound:lvc,conj,cop,csubj,csubj:pass,dep,discourse,dislocated,list,nmod,nmod:poss,nsubj,obj,orphan,parataxis,root,xcomp
tr_pud-ud-test,1000,0,6,,,1.0,,,,,,,,,1.0,2.0,,,,,,,,,,,,,2.0,
tr_atis-ud-train,4274,0,5,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,
tr_atis-ud-test,586,0,3,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,
tr_kenet-ud-dev,1646,0,16,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,3.0,11.0,
tr_kenet-ud-test,1643,0,7,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,5.0,
tr_kenet-ud-train,15398,0,87,,,2.0,,,,,,2.0,1.0,,4.0,,,,,,,1.0,1.0,,,,,7.0,69.0,
lt_hse-ud-train,153,0,3,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,
lt_hse-ud-dev,55,0,5,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,
ml_ufal-ud-test,218,0,8,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,5.0,
si_stb-ud-test,100,0,5,,,,,,,,,,,3.0,,,,,,,,,,,,,,,2.0,
lt_alksnis-ud-test,684,0,2,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
lt_alksnis-ud-dev,617,0,4,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,
lt_alksnis-ud-train,2341,0,20,,5.0,,,,1.0,,,,,,5.0,,1.0,,,,,,,,,,,,8.0,
hy_bsut-ud-train,1226,0,54,,,,,,,54.0,,,,,,,,,,,,,,,,,,,,
hy_bsut-ud-test,595,0,6,,,,,,,5.0,,,,,1.0,,,,,,,,,,,,,,,
hy_bsut-ud-dev,479,0,21,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,
mdf_jr-ud-test,454,0,4,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,
myv_jr-ud-test,921,0,7,,,,,,,,,,,,3.0,,,,,,,,,,,,,1.0,3.0,
myv_jr-ud-train,1217,0,1,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
tr_framenet-ud-test,205,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,
tr_framenet-ud-train,2288,0,16,,,,,,,,,,,,,,,,,,,,,,,,,1.0,15.0,
tr_gb-ud-test,2880,0,30,,,,,,,5.0,,,,,,7.0,,,,,,,,,,,,,18.0,
ota_boun-ud-test,400,0,4,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,
hyw_armtdp-ud-train,5282,0,1,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
pcm_nsc-ud-dev,990,0,3,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
pcm_nsc-ud-train,7279,0,12,,,,,,,11.0,,,,,,,,,,,,,,,,,,,1.0,
pcm_nsc-ud-test,972,0,4,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,
lzh_kyoto-ud-dev,6102,0,12,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,
lzh_kyoto-ud-train,74609,0,160,,2.0,,,2.0,,152.0,,,,,,,,,,,,,,,,,,,4.0,
lzh_kyoto-ud-test,5528,0,4,,,,,,,1.0,,,,,,,,,,,,,,,,,,,3.0,
lv_lvtb-ud-test,2412,0,112,1.0,5.0,4.0,,,,,1.0,13.0,,,37.0,6.0,1.0,,,1.0,,,,,,,,,43.0,
lv_lvtb-ud-train,14358,0,878,15.0,75.0,37.0,,,,6.0,3.0,105.0,,,218.0,33.0,5.0,2.0,5.0,,,,,,,,3.0,2.0,368.0,1.0
lv_lvtb-ud-dev,2080,0,124,6.0,7.0,5.0,,,,1.0,1.0,12.0,,,33.0,4.0,,2.0,,,,,,,,,,1.0,52.0,
qtd_sagt-ud-test,805,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,
tr_tourism-ud-train,15473,0,36,,,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,33.0,
tr_tourism-ud-dev,2166,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,
tr_tourism-ud-test,2191,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,
tr_imst-ud-train,3435,0,28,,,1.0,,,,,,3.0,,3.0,3.0,,,,,,,,,,,,,,18.0,
tr_imst-ud-dev,1100,0,15,,,,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,,,12.0,
tr_imst-ud-test,1100,0,9,,,,,,,,,,2.0,1.0,1.0,,,,,,,,,,,,,,5.0,
gu_gujtb-ud-test,187,0,1,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
tr_boun-ud-dev,979,0,15,,1.0,,,,,,,2.0,,,4.0,,,,,,,,,1.0,,,,,7.0,
tr_boun-ud-test,979,0,11,,,,,,,,,1.0,,1.0,3.0,,,,,,,,,,,,,,6.0,
tr_boun-ud-train,7803,0,129,,,4.0,,,,,,4.0,9.0,12.0,38.0,1.0,,,,,3.0,,,,1.0,,,,57.0,
tr_penn-ud-dev,622,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
tr_penn-ud-train,14850,0,77,,1.0,,,1.0,2.0,,,5.0,,,2.0,,,,,,,1.0,1.0,,,,,4.0,60.0,
