Treebank,Number of Sentences,Failures,Total,_,acl,advcl,appos,case,compound,compound:nn,conj,dep,flat,flat:foreign,flat:name,iobj,list,nmod,nmod:npmod,nmod:poss,nsubj,nsubj:pass,obj,obl,obl:arg,orphan,parataxis,root,vocative,xcomp
orv_rnc-ud-dev,943,0,10,,,,,,,,,,,,,1.0,,,,,,,,3.0,,,,6.0,,
orv_rnc-ud-train,1868,0,1,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
orv_rnc-ud-test,717,0,2,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,
be_hse-ud-train,22853,0,177,,,,34.0,,1.0,,19.0,,,,1.0,1.0,1.0,50.0,,,9.0,,23.0,26.0,,,1.0,11.0,,
be_hse-ud-dev,1301,0,20,,,,3.0,,,,2.0,,,,,,,12.0,,,1.0,,,1.0,,,,1.0,,
be_hse-ud-test,1077,0,13,,,,1.0,,,,3.0,,,,,,1.0,7.0,,,,,,,,,1.0,,,
cs_pud-ud-test,1000,0,2,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,
orv_ruthenian-ud-train,2789,0,9,,,,,,,,,,,,,,,5.0,,,1.0,,,3.0,,,,,,
vi_tuecl-ud-test,100,0,14,,,,,,4.0,,,,6.0,,,,,1.0,,,1.0,,,1.0,,,1.0,,,
hy_bsut-ud-train,1226,0,5,,,,,,,,1.0,,,,,,,,,1.0,,1.0,2.0,,,,,,,
hy_bsut-ud-test,595,0,8,,,,,,,,,,,,,,,2.0,2.0,1.0,2.0,,,1.0,,,,,,
myv_jr-ud-test,921,0,2,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,
myv_jr-ud-train,1217,0,14,,,,1.0,,,1.0,3.0,,,,,,,,,,7.0,,,,,,,,2.0,
ru_taiga-ud-train,16045,0,56,,,,12.0,,,,12.0,,,,3.0,1.0,,9.0,,,1.0,,2.0,8.0,,1.0,6.0,1.0,,
ru_taiga-ud-dev,946,0,4,,,,3.0,,,,,,,,,,,,,,,,,,,,,1.0,,
hy_armtdp-ud-train,1974,0,22,,,,,,,,1.0,,,,,,,3.0,,11.0,2.0,,1.0,4.0,,,,,,
hy_armtdp-ud-test,277,0,1,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
la_udante-ud-train,926,0,3,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,
hyw_armtdp-ud-test,680,0,3,,,,,,,,1.0,,,,,,,1.0,,1.0,,,,,,,,,,
hyw_armtdp-ud-dev,694,0,1,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
hyw_armtdp-ud-train,5282,0,35,,,,1.0,,,,1.0,,3.0,,,1.0,,6.0,,12.0,1.0,,2.0,5.0,,,,3.0,,
cs_pdt-ud-test,10146,0,866,,1.0,,11.0,,,,81.0,66.0,1.0,,,11.0,,498.0,,,112.0,3.0,10.0,45.0,10.0,5.0,,12.0,,
cs_pdt-ud-dev,9270,0,753,,,1.0,20.0,,,,75.0,33.0,3.0,,,23.0,,432.0,,,82.0,2.0,10.0,51.0,9.0,4.0,,8.0,,
cs_pdt-ud-train,68491,0,6359,2.0,,15.0,134.0,,,,504.0,360.0,12.0,,,145.0,,3511.0,,,901.0,21.0,144.0,338.0,102.0,20.0,,149.0,,1.0
cs_cac-ud-train,23478,0,24,,,,,1.0,,,3.0,,,1.0,,,,14.0,,,2.0,,2.0,,1.0,,,,,
