Treebank,Number of Sentences,Failures,Total,acl:relcl,advcl,amod,appos,ccomp,compound,conj,csubj,dep,discourse,dislocated,fixed,iobj,list,nmod,nmod:tmod,nsubj,nsubj:pass,nummod,nummod:gov,obj,obl,obl:arg,obl:tmod,orphan,parataxis,root
orv_rnc-ud-dev,943,0,479,,,1.0,4.0,,1.0,165.0,,,,,,,,84.0,,12.0,164.0,,,19.0,7.0,,1.0,,1.0,20.0
orv_rnc-ud-train,1868,0,211,,,1.0,4.0,,2.0,54.0,,,,,,,2.0,17.0,,27.0,9.0,,,40.0,20.0,,5.0,2.0,,28.0
orv_rnc-ud-test,717,0,49,,,,2.0,,,15.0,,,,,,,,5.0,,3.0,3.0,,,4.0,13.0,,1.0,,1.0,2.0
qpm_philotis-ud-train,980,0,24,,,,,,,7.0,,,,,1.0,,,1.0,5.0,3.0,,,,3.0,2.0,1.0,1.0,,,
qpm_philotis-ud-dev,635,0,7,,,1.0,,,,1.0,,1.0,,,,,,,,3.0,,,,,1.0,,,,,
qpm_philotis-ud-test,635,0,3,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,
orv_ruthenian-ud-test,390,0,6,,,,1.0,,,1.0,,,,,,,,1.0,,,,,,2.0,1.0,,,,,
orv_ruthenian-ud-train,2789,0,102,,,,4.0,,,18.0,,,,,,,,13.0,,6.0,1.0,1.0,4.0,35.0,8.0,,3.0,,,9.0
orv_ruthenian-ud-dev,344,0,5,,,,,,,,,,,,,,,,,1.0,,,,4.0,,,,,,
mk_mtb-ud-test,155,0,4,,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,1.0,,,,,
orv_birchbark-ud-train,1045,0,83,,,,,,,10.0,,1.0,,,,,4.0,7.0,,36.0,,,,12.0,1.0,,,1.0,1.0,10.0
orv_birchbark-ud-dev,1062,0,145,,,3.0,2.0,,,23.0,,1.0,,1.0,,,1.0,9.0,,73.0,,,,19.0,1.0,,,2.0,1.0,9.0
orv_birchbark-ud-test,1007,0,157,,,2.0,1.0,,,33.0,,,,,,,7.0,3.0,,66.0,2.0,,,34.0,4.0,,,1.0,,4.0
bg_btb-ud-train,8907,0,705,2.0,3.0,,1.0,4.0,,24.0,2.0,,,,,27.0,,246.0,,59.0,36.0,,,94.0,163.0,,,,4.0,40.0
bg_btb-ud-test,1116,0,90,1.0,,,1.0,1.0,,,,,3.0,,,2.0,,21.0,,5.0,3.0,,,17.0,30.0,,,,,6.0
bg_btb-ud-dev,1115,0,93,,1.0,,1.0,,,5.0,,,,,,1.0,,32.0,,7.0,2.0,,,14.0,25.0,,,,,5.0
