Treebank,Number of Sentences,Failures,Total,advmod,advmod:lmod,amod,case,compound:prt,conj,dep,expl,fixed,flat:name,iobj,list,mark,mark:prt,nmod:poss,nsubj,obj,obl,obl:tmod,reparandum,xcomp:pred
de_hdt-ud-test,18459,0,1618,,,,,,,,,,,,,1618.0,,,,,,,,
de_hdt-ud-train,153035,0,13413,1.0,,,,,,,,,,,,13412.0,,,,,,,,
de_hdt-ud-dev,18434,0,1648,,,,,,,,,,,,,1648.0,,,,,,,,
ro_nonstandard-ud-test,1052,0,49,,,,,,,,,,,,,49.0,,,,,,,,
ro_nonstandard-ud-dev,1052,0,41,,,,,,,,,,,,,41.0,,,,,,,,
ro_nonstandard-ud-train,24121,0,1478,3.0,,,2.0,,,,,2.0,,,1.0,1470.0,,,,,,,,
ro_simonero-ud-test,491,0,19,,,,,,,,,,,,,19.0,,,,,,,,
ro_simonero-ud-train,3747,0,262,,,,,,,,,,,,,262.0,,,,,,,,
ro_simonero-ud-dev,443,0,21,,,,,,,,,,,,,21.0,,,,,,,,
ro_tuecl-ud-test,210,0,3,,,,,,,,,,,,,3.0,,,,,,,,
gv_cadhan-ud-test,1164,0,19,,,,,,,,,,,,,19.0,,,,,,,,
gv_cadhan-ud-train,1172,0,13,,,,,,,,,,,,,13.0,,,,,,,,
af_afribooms-ud-train,1315,0,637,,,,,,,4.0,,,,,,633.0,,,,,,,,
af_afribooms-ud-dev,194,0,104,,,,,,,,,,,,,104.0,,,,,,,,
af_afribooms-ud-test,425,0,245,,,,,,,,,,,,,245.0,,,,,,,,
nds_lsdc-ud-train,500,0,53,,,,,,,,,,,,,53.0,,,,,,,,
nds_lsdc-ud-test,500,0,64,,,,,,,,,,,,,64.0,,,,,,,,
ga_idt-ud-train,4005,0,1700,,,,,,,,,1.0,,,,1625.0,64.0,2.0,3.0,4.0,1.0,,,
ga_idt-ud-test,454,0,132,,,,,,,,,,,,,127.0,2.0,1.0,,2.0,,,,
ga_idt-ud-dev,451,0,121,,,,,,,,,,,,,116.0,4.0,,1.0,,,,,
da_ddt-ud-train,4383,0,2093,,1.0,1.0,309.0,34.0,1.0,,29.0,,,2.0,,990.0,,,655.0,58.0,12.0,1.0,,
da_ddt-ud-test,565,0,266,1.0,,1.0,37.0,3.0,,,6.0,,,,,125.0,,,78.0,13.0,2.0,,,
da_ddt-ud-dev,564,0,276,,,,34.0,3.0,,,2.0,,,,,140.0,,,84.0,12.0,1.0,,,
ro_rrt-ud-test,729,0,63,,,,,,,,,,,,,63.0,,,,,,,,
ro_rrt-ud-train,8043,0,736,,,,,,,,,,,,,736.0,,,,,,,,
ro_rrt-ud-dev,752,0,41,,,,,,,,,,,,,41.0,,,,,,,,
gd_arcosg-ud-test,545,0,136,,,,,,,,,,,,,,135.0,,,,,,,1.0
gd_arcosg-ud-train,3541,0,767,,,,1.0,,,,,,1.0,,,,762.0,,1.0,1.0,,,1.0,
gd_arcosg-ud-dev,655,0,100,,,,,,,,,,,,,,100.0,,,,,,,
ga_cadhan-ud-test,193,0,37,,,,,,,,,,,,,36.0,1.0,,,,,,,
