Treebank,Number of Sentences,Failures,Total,acl,acl:relcl,advcl,advcl:cleft,appos,aux,ccomp,compound:svc,conj,cop,csubj,dep,nsubj,obl,parataxis,parataxis:conj,parataxis:discourse,parataxis:mod,parataxis:parenth,reparandum,root,xcomp
sga_dipsgg-ud-test,64,0,17,,,,,,,,,,8,,,9.0,,,,,,,,,
he_iahltwiki-ud-train,4298,0,240,,,,,,4.0,,,,233,,,,,1.0,,,,,,2.0,
he_iahltwiki-ud-dev,348,0,15,,,,,,1.0,,,,14,,,,,,,,,,,,
he_iahltwiki-ud-test,393,0,11,,,,,,,,,,11,,,,,,,,,,,,
vi_tuecl-ud-test,100,0,30,,,,,,,,,,29,,,,,,,,,,1.0,,
af_afribooms-ud-train,1315,0,471,,,,,,,,,,453,,,,,,,,,,,18.0,
af_afribooms-ud-dev,194,0,68,,,,,,,,,,67,,,,,,,,,,,1.0,
af_afribooms-ud-test,425,0,149,,,,,,,,,,139,,,,,,,,,,,10.0,
nds_lsdc-ud-test,500,0,14,,,,,,,,,,14,,,,,,,,,,,,
pcm_nsc-ud-dev,990,0,105,,19.0,6.0,7.0,,,12.0,1.0,2.0,5,1.0,,,,5.0,5.0,,,1.0,,39.0,2.0
pcm_nsc-ud-train,7279,0,753,2.0,163.0,55.0,60.0,2.0,2.0,86.0,5.0,31.0,39,4.0,,,,17.0,26.0,1.0,1.0,4.0,9.0,237.0,9.0
pcm_nsc-ud-test,972,0,115,1.0,17.0,8.0,7.0,,,9.0,,7.0,14,,,,,4.0,3.0,,1.0,2.0,1.0,41.0,
he_htb-ud-train,5168,0,978,5.0,41.0,9.0,,,,5.0,,13.0,811,1.0,6.0,,2.0,,,,,,,24.0,61.0
he_htb-ud-dev,484,0,112,1.0,1.0,1.0,,2.0,,,,1.0,92,,1.0,,,2.0,,,,,,3.0,8.0
he_htb-ud-test,491,0,149,,,1.0,,,,,,1.0,132,,1.0,,1.0,,,,,,,6.0,7.0
lzh_kyoto-ud-dev,6102,0,278,,,,,,,,,,278,,,,,,,,,,,,
lzh_kyoto-ud-train,74609,0,2344,,,,,,,,,,2344,,,,,,,,,,,,
lzh_kyoto-ud-test,5528,0,168,,,,,,,,,,168,,,,,,,,,,,,
sga_dipwbg-ud-test,34,0,32,,,,,,,,,,5,,,26.0,1.0,,,,,,,,
bej_nsc-ud-test,380,0,62,,,1.0,,,,,,,60,1.0,,,,,,,,,,,
