Treebank,Number of Sentences,Failures,Total,ccomp,nmod,obl,parataxis,xcomp,xcomp:ds,xcomp:obj
hu_szeged-ud-test,449,0,1,,,1.0,,,,
hu_szeged-ud-train,910,0,1,,,1.0,,,,
fi_ood-ud-test,2122,0,1,,,1.0,,,,
et_ewt-ud-train,5444,0,1,,,1.0,,,,
et_ewt-ud-test,913,0,2,,,2.0,,,,
fi_tdt-ud-train,12217,0,13,,1.0,11.0,,1.0,,
fi_tdt-ud-test,1555,0,1,,,1.0,,,,
fi_tdt-ud-dev,1364,0,1,,,1.0,,,,
fi_pud-ud-test,1000,0,2,,,1.0,,,1.0,
et_edt-ud-dev,3128,0,4,,,4.0,,,,
et_edt-ud-train,24615,0,8,,,8.0,,,,
et_edt-ud-test,3214,0,3,1.0,,1.0,1.0,,,
sme_giella-ud-train,2257,0,3,,,,,1.0,,2.0
sme_giella-ud-test,865,0,1,,,1.0,,,,
fi_ftb-ud-dev,1875,0,2,,2.0,,,,,
fi_ftb-ud-train,14981,0,4,,4.0,,,,,
fi_ftb-ud-test,1867,0,1,,1.0,,,,,
