Treebank,Number of Sentences,Failures,Total,acl,acl:relcl,advcl,advcl:cmp,advcl:relcl,advcl:tcl,advmod,advmod:deg,advmod:emph,advmod:freq,advmod:lmod,advmod:tmod,amod,appos,case,cc,cc:preconj,ccomp,compound,compound:redup,conj,csubj:relcl,dep,det,discourse,fixed,flat:vv,mark,nmod,nmod:poss,nsubj,nsubj:outer,nsubj:pass,obj,obl,obl:arg,obl:lmod,obl:tmod,orphan,parataxis,root
es_ancora-ud-train,14287,0,1507,1.0,,,,,,,,,,,,,95.0,,,,1.0,1.0,,57.0,,7.0,,,,,,381.0,,8.0,,,16.0,924.0,5.0,,,1.0,,10.0
es_ancora-ud-test,1721,0,197,,,,,,,1.0,,,,,,,10.0,,,,,,,11.0,,2.0,,,,,,51.0,,,,,,121.0,,,,,,1.0
es_ancora-ud-dev,1654,0,188,,,,,,,,,,,,,,9.0,,,,,1.0,,2.0,,,,,,,,54.0,,,,,1.0,119.0,1.0,,,,,1.0
la_circse-ud-test,1263,0,96,,,,,,,,,4.0,,,82.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,9.0,,
la_perseus-ud-test,939,0,69,,,,,,,,,,,,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_perseus-ud-train,1334,0,162,,,,,,,,,,,,162.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sms_giellagas-ud-test,230,0,74,,,,,,,4.0,,,,,68.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,
sms_giellagas-ud-train,20,0,3,,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lzh_tuecl-ud-test,100,0,13,,,,,,,11.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
apu_ufpa-ud-test,161,0,2,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
egy_ujaen-ud-test,721,0,5,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
si_stb-ud-test,100,0,9,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,
vi_tuecl-ud-test,100,0,51,,,,,,,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,
mdf_jr-ud-test,454,0,98,,,,,,,1.0,1.0,,3.0,,86.0,,2.0,,,,,,,1.0,,,,,,,2.0,,,,,,,,,,2.0,,,
mdf_jr-ud-train,20,0,2,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_llct-ud-dev,850,0,38,,,,,,,,,,,,27.0,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,
la_llct-ud-test,884,0,40,,,,,,,,,,,,26.0,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,
la_llct-ud-train,7289,0,532,,,,,,,1.0,,,,,357.0,,,,,,,,,,,,174.0,,,,,,,,,,,,,,,,,
bor_bdt-ud-test,881,0,2,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
myv_jr-ud-test,921,0,270,1.0,,2.0,,,2.0,2.0,1.0,,,,219.0,,1.0,2.0,,,,1.0,,5.0,,,,,1.0,,21.0,,,,,,,4.0,,,7.0,,,1.0
myv_jr-ud-train,1217,0,195,,,,,,1.0,6.0,,,,,155.0,,,2.0,1.0,1.0,,,,,,,,,,,9.0,,,,,,,4.0,,,11.0,2.0,,3.0
kpv_ikdp-ud-test,214,0,9,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
kpv_lattice-ud-test,643,0,64,,,,,,1.0,,,9.0,,,47.0,,,,,,,,,,,,,,,,5.0,,,,,,,,,,2.0,,,
la_udante-ud-train,926,0,173,,1.0,1.0,,,,3.0,,,,,166.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,
la_udante-ud-test,419,0,99,,,,,,,,,,,1.0,66.0,,,,,,,,,2.0,1.0,,,23.0,,,,,,,,,,,,,,5.0,,1.0
la_udante-ud-dev,376,0,84,,1.0,,,,,1.0,,,,,79.0,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,1.0,,
ca_ancora-ud-dev,1709,0,134,,,,,,,,,,,,,,19.0,,,,,,,7.0,,,,,,,,31.0,,,,,5.0,72.0,,,,,,
ca_ancora-ud-test,1846,0,215,,,,,,,,,,,,,,34.0,,,,,,,21.0,,,,,,,,40.0,,1.0,,,1.0,110.0,,,,,,8.0
ca_ancora-ud-train,13123,0,1332,,,,,,,,,,,,,,147.0,,,,,,,123.0,,,,,,,,307.0,,10.0,,,5.0,728.0,8.0,,,,1.0,3.0
ka_glc-ud-test,151,0,30,,,,,,,29.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
lzh_kyoto-ud-dev,6102,0,445,,,,,,,430.0,,,,,,10.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,3.0
lzh_kyoto-ud-train,74609,0,5564,,,1.0,,,,5343.0,,,,,,187.0,,,,,1.0,,5.0,2.0,,,,,,7.0,,,,3.0,1.0,,,,,1.0,,,3.0,10.0
lzh_kyoto-ud-test,5528,0,426,,,,,,,414.0,,,,,,9.0,,,,,,,1.0,,,,,,,1.0,,,,1.0,,,,,,,,,,
la_ittb-ud-dev,2101,0,101,,,2.0,,,,,,9.0,,,48.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,3.0,,36.0
la_ittb-ud-test,2101,0,119,,1.0,,,,,,,12.0,,,47.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,4.0,,53.0
la_ittb-ud-train,22775,0,1552,,,28.0,4.0,2.0,,,,176.0,,,871.0,,,,4.0,,,,,51.0,,,,,,,,,,1.0,,1.0,,,,,,11.0,,403.0
yrl_complin-ud-test,1470,0,294,,,,,,,279.0,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,2.0,,,,,2.0,6.0
