Treebank,Number of Sentences,Failures,Total,acl,advcl,amod,appos,aux,ccomp,compound:svc,conj,csubj,dep,nsubj,parataxis,root,xcomp
hy_bsut-ud-train,1226,0,98,90.0,2.0,,,,,,2.0,,,,,2.0,2.0
hy_bsut-ud-test,595,0,72,59.0,,,,,,,9.0,,,,,3.0,1.0
hy_bsut-ud-dev,479,0,53,46.0,,1.0,,,,,6.0,,,,,,
tr_gb-ud-test,2880,0,3,,,,,,,,,,,,1.0,2.0,
hy_armtdp-ud-train,1974,0,222,183.0,1.0,1.0,,,1.0,,29.0,1.0,,,,2.0,4.0
hy_armtdp-ud-dev,249,0,28,24.0,,,,,,,4.0,,,,,,
hy_armtdp-ud-test,277,0,18,17.0,,,,,,,1.0,,,,,,
myu_tudet-ud-test,158,0,29,,2.0,,,1.0,,,,,1.0,,12.0,13.0,
hyw_armtdp-ud-test,680,0,42,37.0,1.0,,,,,,3.0,,,1.0,,,
hyw_armtdp-ud-dev,694,0,50,43.0,,,,,,,7.0,,,,,,
hyw_armtdp-ud-train,5282,0,307,264.0,,1.0,1.0,,,3.0,33.0,,,,,2.0,3.0
tr_imst-ud-train,3435,0,3,1.0,,,,,,,2.0,,,,,,
