Treebank,Number of Sentences,Failures,Total,acl,acl:relcl,advcl,advmod,advmod:deg,advmod:lmod,amod,amod:att,appos,case,ccomp,compound:preverb,compound:prt,conj,csubj,dep,det,expl,mark,nmod,nmod:obl,nsubj,nummod,obj,obl,obl:lmod,orphan,parataxis,root,xcomp,xcomp:ds
hu_szeged-ud-dev,441,0,1,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
hu_szeged-ud-test,449,0,14,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,12.0,,,,,,
hu_szeged-ud-train,910,0,28,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,25.0,,,,,,
fi_ood-ud-test,2122,0,96,1.0,,11.0,,,,8.0,,,,,,1.0,2.0,,,,,,1.0,,,,,29.0,,8.0,,2.0,17.0,16.0
et_ewt-ud-train,5444,0,24,1.0,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,16.0,,,2.0,2.0,1.0,
et_ewt-ud-test,913,0,6,,,,,,,,,,,1.0,,,,,,,,,,,,,,3.0,,,,1.0,1.0,
et_ewt-ud-dev,833,0,6,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,3.0,
gub_tudet-ud-test,1182,0,18,,,,,,,,,,16.0,1.0,,,,,,,,,1.0,,,,,,,,,,,
olo_kkpp-ud-test,106,0,13,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,7.0,,3.0,,,,
mdf_jr-ud-test,454,0,29,,,,,,,,,,2.0,,,,2.0,,,,,,2.0,,,,,8.0,1.0,,,2.0,12.0,
vep_vwt-ud-test,103,0,3,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,2.0,
fi_tdt-ud-train,12217,0,5,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,2.0
fi_tdt-ud-test,1555,0,139,4.0,,10.0,,,,14.0,,,,1.0,,,14.0,,,3.0,,,16.0,,,1.0,,26.0,,1.0,,1.0,25.0,23.0
fi_tdt-ud-dev,1364,0,111,2.0,,6.0,,,,9.0,,,,3.0,,,7.0,,,,,,14.0,,,,,25.0,,,,1.0,28.0,16.0
myv_jr-ud-test,921,0,2,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
myv_jr-ud-train,1217,0,56,1.0,1.0,6.0,11.0,,,1.0,,,,,,,3.0,1.0,,,,3.0,,,,,,5.0,,,,5.0,19.0,
kpv_ikdp-ud-test,214,0,5,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,2.0,,,,,
kpv_lattice-ud-test,643,0,9,,,,,1.0,5.0,,,,2.0,,,,,,,,,,,,,,,,1.0,,,,,
tpn_tudet-ud-test,581,0,61,2.0,,3.0,,,,,,,,,,,,,1.0,,,,4.0,,1.0,,1.0,43.0,,,1.0,4.0,1.0,
fi_pud-ud-test,1000,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
et_edt-ud-dev,3128,0,18,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,1.0,8.0,
et_edt-ud-train,24615,0,175,,4.0,2.0,,,,,,,,,,,,,,,,,9.0,,,,,101.0,,,4.0,15.0,40.0,
et_edt-ud-test,3214,0,24,,,,,,,,,,,1.0,,,,,,,,,2.0,,,,,16.0,,,,1.0,4.0,
krl_kkpp-ud-test,228,0,12,,,,,,,2.0,,,,,,,,,,,,,,,,,,9.0,,,,,1.0,
fi_ftb-ud-dev,1875,0,1,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
fi_ftb-ud-train,14981,0,8,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,
fi_ftb-ud-test,1867,0,108,3.0,,27.0,,,,7.0,,,,1.0,,,6.0,,1.0,,,,62.0,,,1.0,,,,,,,,
eme_tudet-ud-test,913,0,46,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,11.0,20.0,,,,13.0,,
aqz_tudet-ud-test,343,0,18,,,,,,,,,1.0,,,,,4.0,,,,,,,,,,,,,,,13.0,,
