Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,amod,aux,aux:pass,cc,ccomp,conj,cop,cop:own,csubj,csubj:cop,dep,det,expl,mark,nmod,nsubj,nsubj:cop,nsubj:outer,obj,obl,orphan,parataxis,root,xcomp
fi_ood-ud-test,2122,0,47,,,2.0,,10,,,4.0,7.0,9.0,1.0,,,,,,,,,,,,1.0,,,13.0,
olo_kkpp-ud-test,106,0,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,
fi_tdt-ud-train,12217,0,260,,,11.0,,64,1.0,1.0,36.0,14.0,47.0,7.0,1.0,1.0,,4.0,,2.0,,2.0,1.0,,1.0,1.0,1.0,3.0,62.0,
fi_tdt-ud-test,1555,0,44,,1.0,,,7,,1.0,3.0,3.0,11.0,3.0,,,,,,,,1.0,,,,,,1.0,13.0,
fi_tdt-ud-dev,1364,0,48,,,1.0,,11,2.0,,6.0,1.0,15.0,2.0,,,,,,,,1.0,,,,,,,9.0,
fi_pud-ud-test,1000,0,17,,,,,3,,,7.0,1.0,2.0,1.0,,,,,,,,,,,,,,1.0,2.0,
krl_kkpp-ud-test,228,0,4,,,,,1,,,,,1.0,,,,,,,,,,,,,,,,2.0,
fi_ftb-ud-dev,1875,0,93,1.0,2.0,4.0,,21,,,3.0,3.0,11.0,,,1.0,,4.0,,,,4.0,,,,,,,39.0,
fi_ftb-ud-train,14981,0,742,11.0,13.0,29.0,2.0,185,,,65.0,48.0,60.0,,6.0,6.0,1.0,4.0,2.0,1.0,22.0,14.0,2.0,1.0,3.0,,,,266.0,1.0
fi_ftb-ud-test,1867,0,92,4.0,1.0,3.0,,21,,,6.0,2.0,12.0,,1.0,,,1.0,,,5.0,1.0,1.0,,1.0,,,,33.0,
