Treebank,Number of Sentences,Failures,Total,acl:relcl,advcl,advmod,advmod:lmod,amod,aux,case,conj,csubj:relcl,dep,dep:agr,det,det:poss,dislocated,expl,expl:impers,expl:pass,expl:pv,fixed,flat:foreign,iobj,nmod,nsubj,nsubj:pass,obj,obl,obl:agent,obl:arg,obl:lmod,orphan,parataxis,punct,root,vocative,xcomp
orv_rnc-ud-dev,943,0,9,,,,,,,,,,,,,,,,,,,,,1.0,,,,7.0,1.0,,,,,,,,,
orv_rnc-ud-train,1868,0,39,,,,,,,,,,,,,,,,,,,,,22.0,2.0,,,13.0,2.0,,,,,,,,,
orv_rnc-ud-test,717,0,12,,,,,,,,,,,,,,,,,,,,,7.0,,,,3.0,2.0,,,,,,,,,
orv_ruthenian-ud-test,390,0,42,,,,,,,,,,,,,,,23.0,,,,,,17.0,,,,2.0,,,,,,,,,,
orv_ruthenian-ud-train,2789,0,148,,,,,,,,,,,,,,,125.0,,,,,,18.0,,1.0,,4.0,,,,,,,,,,
orv_ruthenian-ud-dev,344,0,8,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,
gl_treegal-ud-train,600,0,280,,,,,,,,,,,,,,,166.0,,,,1.0,,47.0,,6.0,,59.0,,,,,,,,1.0,,
gl_treegal-ud-test,400,0,189,,,,,,,,,,,,,,,121.0,,,,,,19.0,,5.0,,44.0,,,,,,,,,,
it_old-ud-train,1748,0,2258,,,,8.0,,,24.0,,1.0,,,,,,42.0,103.0,68.0,559.0,,,589.0,3.0,,,761.0,12.0,1.0,59.0,28.0,,,,,,
it_old-ud-dev,316,0,493,,,,5.0,,,10.0,,,,,,2.0,,11.0,21.0,17.0,146.0,1.0,,112.0,1.0,,,155.0,3.0,,7.0,2.0,,,,,,
it_old-ud-test,338,0,466,,,,4.0,,,9.0,,,,,1.0,,,9.0,17.0,7.0,110.0,,,126.0,3.0,,,166.0,2.0,,10.0,2.0,,,,,,
it_valico-ud-test,398,0,266,,,,,,,,,,2.0,,,,,98.0,7.0,,,,,58.0,,,,101.0,,,,,,,,,,
quc_iu-ud-test,1435,0,52,,,,,,,,,,1.0,50.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
it_isdt-ud-test,482,0,162,,,,,,,,,,,,,,,74.0,20.0,11.0,,,,19.0,1.0,1.0,,36.0,,,,,,,,,,
