Treebank,Number of Sentences,Failures,Total,dep:comp,det,reparandum
fr_fqb-ud-test,2289,0,7,,7,
fr_gsd-ud-test,416,0,4,,4,
fr_gsd-ud-train,14450,0,72,,72,
fr_gsd-ud-dev,1476,0,3,,3,
fr_rhapsodie-ud-train,1288,0,3,,3,
fr_rhapsodie-ud-dev,1081,0,18,1.0,14,3.0
fr_rhapsodie-ud-test,840,0,6,,6,
fr_parisstories-ud-dev,692,0,10,,9,1.0
fr_parisstories-ud-train,1387,0,8,,8,
fr_parisstories-ud-test,697,0,2,,2,
fr_sequoia-ud-test,456,0,4,,4,
fr_sequoia-ud-train,2231,0,26,,26,
fr_sequoia-ud-dev,412,0,7,,7,
