Treebank,Number of Sentences,Failures,Total,_,acl,acl:relcl,advcl,advcl:abs,advcl:cmp,advcl:pred,advcl:relcl,advmod,amod,appos,aux,aux:pass,case,ccomp,compound,compound:lvc,compound:smixut,conj,cop,csubj,csubj:pass,csubj:relcl,dep,det,dislocated,expl:pv,fixed,flat,flat:name,iobj,nmod,nmod:poss,nsubj,nsubj:cop,nsubj:outer,nsubj:pass,nummod,obj,obl,obl:agent,obl:arg,obl:cmp,obl:dat,obl:lmod,obl:tmod,orphan,parataxis,root,vocative,xcomp
no_bokmaal-ud-dev,2409,0,789,,,,13.0,,,,,17.0,435.0,2.0,,,,22.0,,,,66.0,,5.0,,,,,3.0,,,,,,2.0,,49.0,,,,,10.0,5.0,,,,,,,,,87.0,,73.0
no_bokmaal-ud-test,1939,0,577,,,,21.0,,,,,4.0,338.0,1.0,,,,18.0,,,,40.0,,1.0,,,,,1.0,,,,2.0,,,,33.0,,,,,7.0,4.0,,,,,,,,,53.0,,54.0
no_bokmaal-ud-train,15696,0,5239,,,,86.0,,,,,76.0,3063.0,10.0,,,,148.0,3.0,,,349.0,,12.0,,,,1.0,6.0,,,,5.0,2.0,13.0,,304.0,,1.0,,,84.0,38.0,,,,,,,,3.0,583.0,,452.0
kmr_mg-ud-train,20,0,10,,,,,,,,,,,,,,1.0,,,,,,,,,,,4.0,,,,,,,1.0,2.0,1.0,,,,,,,,,,,,,,,1.0,,
kmr_mg-ud-test,734,0,831,,1.0,,,,,,,4.0,,1.0,,,20.0,2.0,,2.0,,,,,,,3.0,102.0,,,2.0,2.0,,,137.0,247.0,234.0,,,,,50.0,4.0,,,,13.0,,,,1.0,6.0,,
no_nynorsk-ud-dev,1890,0,767,,3.0,14.0,25.0,,,,,9.0,440.0,2.0,,,,20.0,,,,59.0,,3.0,,,,8.0,2.0,,,,2.0,1.0,1.0,,17.0,,,1.0,,13.0,5.0,,,,,,,,,85.0,,57.0
no_nynorsk-ud-test,1511,0,567,,1.0,16.0,18.0,,,,,4.0,352.0,,,,,8.0,,,,34.0,,3.0,,,,,1.0,,,,1.0,2.0,1.0,,13.0,,,,,5.0,2.0,,,,,,,,,76.0,,30.0
no_nynorsk-ud-train,14174,0,5316,,29.0,159.0,171.0,,,,,99.0,3085.0,9.0,,,,140.0,1.0,,,397.0,,17.0,,,,25.0,9.0,,,,13.0,,9.0,,92.0,,,5.0,,33.0,12.0,,,,,,,,5.0,651.0,,355.0
la_circse-ud-test,1263,0,275,,7.0,2.0,1.0,6.0,1.0,23.0,1.0,,13.0,2.0,,,,2.0,,,,8.0,,1.0,,1.0,,10.0,,,,,,,38.0,,42.0,,,4.0,,31.0,33.0,4.0,16.0,1.0,,6.0,1.0,,2.0,3.0,8.0,8.0
he_iahltwiki-ud-train,4298,0,157,,1.0,37.0,4.0,,,,,,,,,,,1.0,2.0,,,18.0,18.0,1.0,,,,15.0,,,1.0,,,,1.0,1.0,6.0,,,,1.0,1.0,6.0,,,,,,,,1.0,42.0,,
he_iahltwiki-ud-dev,348,0,4,,,3.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
he_iahltwiki-ud-test,393,0,8,,,4.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,
cs_pud-ud-test,1000,0,155,,1.0,22.0,9.0,,,,,,2.0,1.0,,23.0,,6.0,,,,18.0,15.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,51.0,,
cu_proiel-ud-train,18327,0,1085,,29.0,,22.0,,2.0,,,17.0,76.0,6.0,,,,3.0,,,,28.0,3.0,,,,1.0,215.0,3.0,6.0,3.0,,,,36.0,,69.0,,1.0,1.0,74.0,223.0,121.0,,93.0,,,,,15.0,,22.0,,16.0
cu_proiel-ud-test,2096,0,131,,3.0,,4.0,,,,,2.0,8.0,,,,,1.0,,,,3.0,,,,,,30.0,1.0,,,,,,5.0,,14.0,,,,12.0,18.0,6.0,,18.0,,,,,1.0,,3.0,,2.0
cu_proiel-ud-dev,2205,0,195,,5.0,,1.0,,,,,,2.0,1.0,,,,,,,,2.0,,,,,,69.0,,,,,,,4.0,,8.0,,,,26.0,34.0,18.0,,17.0,,,,,,,3.0,,5.0
la_proiel-ud-test,1260,0,77,,4.0,,,,,,,,10.0,,,,,1.0,,,,6.0,,,,,,18.0,,,,,,,1.0,,6.0,,,2.0,,2.0,5.0,,2.0,,,,,2.0,,8.0,,10.0
la_proiel-ud-dev,1233,0,97,,2.0,,,,,,,,13.0,1.0,,,,3.0,,,,6.0,,,,,,18.0,,,,,,,2.0,,10.0,,,1.0,1.0,4.0,7.0,,5.0,,,,,2.0,,8.0,,14.0
la_proiel-ud-train,16196,0,1306,,31.0,,27.0,,2.0,,,11.0,181.0,4.0,,,,29.0,,,,95.0,,2.0,2.0,,6.0,200.0,4.0,,,,,,26.0,,126.0,,3.0,9.0,16.0,90.0,126.0,1.0,142.0,,,,,3.0,2.0,76.0,1.0,91.0
grc_proiel-ud-test,1047,0,232,,,,,,,,,,6.0,1.0,,,,1.0,,,,5.0,,,,,,84.0,,,3.0,,,,6.0,,28.0,,,1.0,4.0,25.0,16.0,,43.0,,,,,1.0,,3.0,1.0,4.0
grc_proiel-ud-train,15016,0,1955,,3.0,,20.0,,6.0,,,3.0,59.0,,,,,9.0,,,,82.0,,,,,,442.0,1.0,,7.0,,,,42.0,,337.0,,1.0,22.0,31.0,207.0,204.0,4.0,384.0,,,,,14.0,1.0,51.0,,25.0
grc_proiel-ud-dev,1019,0,186,,,,2.0,,1.0,,,1.0,9.0,,,,,2.0,,,,6.0,,,,,,67.0,,,,,,,6.0,,17.0,,,1.0,1.0,21.0,12.0,,30.0,,,,,1.0,,5.0,,4.0
nds_lsdc-ud-train,500,0,47,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,12.0,,,,,,,,,24.0,,,,,2.0,5.0,,,,,,,,1.0,1.0,,
nds_lsdc-ud-test,500,0,51,,,,,,,,,,6.0,,,,,,,,,,,,,,,15.0,,,,,,,4.0,,11.0,,,,,10.0,4.0,,,,,,,,,1.0,,
en_gum-ud-train,9521,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,
ga_idt-ud-train,4005,0,21,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,
cs_cltt-ud-dev,316,0,83,,2.0,18.0,6.0,,,,,,6.0,,,5.0,,5.0,,,,9.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,29.0,,
cs_cltt-ud-train,467,0,57,,2.0,4.0,10.0,,,,,,11.0,,1.0,10.0,,4.0,,,,9.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
