Treebank,Number of Sentences,Failures,Total,acl,acl:relcl,advcl,advcl:cond,advcl:tcl,amod,aux,case,ccomp,ccomp:obj,ccomp:obl,ccomp:pred,compound,compound:lvc,compound:prt,compound:redup,compound:svc,conj,cop,cop:own,csubj,dislocated,fixed,nmod,nmod:poss,nsubj,obj,obl,orphan,parataxis,parataxis:discourse,parataxis:trans,reparandum,root,xcomp
hu_szeged-ud-dev,441,0,58,4.0,,4.0,,,,,,4.0,4.0,4.0,,,,,,,16.0,3.0,,1.0,,,,,,,,,,,,,18.0,
hu_szeged-ud-test,449,0,44,2.0,,3.0,,,,,,,,3.0,,,,,,,13.0,3.0,,,,,,,,,,,2.0,,,,18.0,
hu_szeged-ud-train,910,0,114,10.0,,7.0,,,,,,,3.0,3.0,1.0,,,,,,32.0,4.0,,8.0,,,,,,,,,2.0,,,,44.0,
tr_pud-ud-test,1000,0,19,5.0,,4.0,,,,,,,,,,1.0,,,,,1.0,,,,,,,1.0,,,,,,,,,7.0,
fi_ood-ud-test,2122,0,5,,,,,,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,2.0,
sa_vedic-ud-train,21477,0,32,,,2.0,9.0,,,,,3.0,,,,,,,,,1.0,,,,,,,,,,,1.0,2.0,,,,14.0,
tr_atis-ud-dev,572,0,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_atis-ud-train,4274,0,2,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
tr_kenet-ud-dev,1646,0,31,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,4.0,,,,23.0,
tr_kenet-ud-test,1643,0,34,2.0,,3.0,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,2.0,,,,25.0,
tr_kenet-ud-train,15398,0,211,7.0,,3.0,,,1.0,,,,,,,,,,,,30.0,,,1.0,,,,,,,2.0,,14.0,,,,153.0,
sms_giellagas-ud-test,230,0,25,,,1.0,,2.0,,,,3.0,,,,,,,,,7.0,,,,,6.0,,,,,,,,,,,6.0,
sms_giellagas-ud-train,20,0,1,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ml_ufal-ud-test,218,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
egy_ujaen-ud-test,721,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,
si_stb-ud-test,100,0,5,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,
vi_tuecl-ud-test,100,0,11,,1.0,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
olo_kkpp-ud-test,106,0,2,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
fi_tdt-ud-train,12217,0,36,,1.0,,,,,8.0,,1.0,,,,,,,,,2.0,8.0,1.0,,,,,,,,,,,,,,15.0,
fi_tdt-ud-test,1555,0,5,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,
fi_tdt-ud-dev,1364,0,9,,1.0,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,4.0,
tr_framenet-ud-test,205,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,3.0,
tr_framenet-ud-train,2288,0,41,,,1.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,3.0,,,,34.0,
tr_framenet-ud-dev,205,0,5,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,3.0,
ky_ktmu-ud-test,701,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,
tr_gb-ud-test,2880,0,106,3.0,,12.0,,,,,,12.0,,,,,,,,,2.0,3.0,,2.0,,,,,,,,,2.0,,,,70.0,
ceb_gja-ud-test,188,0,15,2.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,10.0,
tl_trg-ud-test,128,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
ota_boun-ud-train,114,0,2,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,
ota_boun-ud-test,400,0,21,2.0,,,,,,,,1.0,,,,1.0,8.0,,,,,,,,,,,,,,1.0,,1.0,,,,7.0,
pcm_nsc-ud-dev,990,0,36,,,,,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
pcm_nsc-ud-train,7279,0,329,,1.0,2.0,,,,316.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,4.0,4.0,
pcm_nsc-ud-test,972,0,22,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sme_giella-ud-train,2257,0,72,,3.0,10.0,,,,13.0,,,,,,,,,,,1.0,2.0,,,,,,,,,,,9.0,,,,34.0,
sme_giella-ud-test,865,0,2,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kk_ktb-ud-test,1047,0,9,3.0,3.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,
kk_ktb-ud-train,31,0,4,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,2.0,
ota_dudu-ud-test,85,0,2,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,
lzh_kyoto-ud-dev,6102,0,219,,,,,,,207.0,,2.0,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,8.0,
lzh_kyoto-ud-train,74609,0,2439,9.0,,2.0,,,6.0,2312.0,,8.0,,,,,,,,,6.0,,,1.0,,,,,1.0,6.0,,,3.0,,,,84.0,1.0
lzh_kyoto-ud-test,5528,0,291,1.0,,,,,,267.0,,3.0,,,,,,,,,,,,,,,,,,1.0,,,2.0,,,,17.0,
qtd_sagt-ud-test,805,0,31,3.0,,1.0,,,,,,3.0,,,,,,,,,5.0,,,,,,,,,,,,8.0,1.0,1.0,,9.0,
qtd_sagt-ud-dev,801,0,16,,,1.0,,,,,,,,,,,,,,,6.0,,,,1.0,,,,,,,,3.0,,,,5.0,
qtd_sagt-ud-train,578,0,30,1.0,,4.0,,,,,,1.0,,,,,,,,,9.0,,,,,,,,,,,,3.0,,,1.0,10.0,1.0
eu_bdt-ud-train,5396,0,188,,,,,,,166.0,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,16.0,1.0
eu_bdt-ud-test,1799,0,49,,,,,,,43.0,,,,,,,,,,,2.0,,,,,,,,1.0,,,,,,,,3.0,
eu_bdt-ud-dev,1798,0,65,,,,,,,61.0,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,1.0,
fi_ftb-ud-dev,1875,0,10,,,,,,,2.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,6.0,
fi_ftb-ud-train,14981,0,100,1.0,,3.0,,,,24.0,,3.0,,,,,,,,,4.0,6.0,,,,,,,,,,,,,,,59.0,
fi_ftb-ud-test,1867,0,14,1.0,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,
tr_tourism-ud-train,15473,0,221,6.0,,1.0,,,,,,4.0,,,,,,,,,2.0,,,,,,,,,,,,4.0,,,,204.0,
tr_tourism-ud-dev,2166,0,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,23.0,
tr_tourism-ud-test,2191,0,35,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,3.0,,,,31.0,
tr_imst-ud-train,3435,0,297,27.0,,12.0,,,,,,11.0,,,,31.0,22.0,,1.0,,48.0,,,,1.0,,12.0,5.0,2.0,13.0,,,2.0,,,,110.0,
