Treebank,Number of Sentences,Failures,Total,_,acl,acl:adv,acl:relcl,advcl,advcl:ccomp,advcl:concess,advcl:cond,advcl:manner,advcl:pred,advcl:tcl,advmod,advmod:mode,amod,appos,aux,aux:neg,aux:pass,case,ccomp,compound,compound:lvc,compound:redup,compound:svc,conj,cop,csubj,csubj:pass,dep,dep:repeat,discourse,dislocated,fixed,flat,mark,nmod,nmod:poss,nsubj,obj,obl,obl:tmod,orphan,parataxis,parataxis:discourse,parataxis:insert,parataxis:obj,reparandum,root,xcomp
sl_ssj-ud-test,1282,0,2,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sl_ssj-ud-dev,1250,0,6,,,,,1.0,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sl_ssj-ud-train,10903,0,33,,,,,1.0,,,,,,,19.0,,,1.0,,,,,,,,,,3.0,,,,,,,,9.0,,,,,,,,,,,,,,,,
xcl_caval-ud-train,3185,0,55,,24.0,,,2.0,,,,,,,,,,,,,,,17.0,,,,,1.0,,4.0,,,,,,,,,,,2.0,1.0,,,1.0,,,,,,3.0,
xcl_caval-ud-dev,411,0,1,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xcl_caval-ud-test,550,0,10,,5.0,,,2.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
hu_szeged-ud-dev,441,0,27,,,,,,,,,,,,,22.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,3.0,,,,,1.0,
hu_szeged-ud-test,449,0,13,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
hu_szeged-ud-train,910,0,41,,,,,,,,,,,,,33.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,3.0,,,,,2.0,1.0
el_gud-ud-train,1071,0,6,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
el_gud-ud-test,736,0,8,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
tr_pud-ud-test,1000,0,20,,,,,13.0,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,
pl_pdb-ud-test,2215,0,109,,,,,101.0,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,3.0,,,1.0,
pl_pdb-ud-train,17722,0,1034,,,,,934.0,,,,,,,,,,,,,,,,,,,,33.0,5.0,,,,,,,1.0,,,,,,,,,1.0,,,27.0,1.0,,32.0,
pl_pdb-ud-dev,2215,0,128,,,,,123.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,3.0,,,,
sah_yktdt-ud-test,299,0,6,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,3.0,
uk_iu-ud-dev,673,0,37,,,,,34.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,
uk_iu-ud-train,5521,0,337,,1.0,1.0,,304.0,,,,,,,,,,,,,,,,,,,,21.0,1.0,,,,,,,,,,,,,,,,,,7.0,,,,2.0,
uk_iu-ud-test,898,0,54,,,,,47.0,,,,,,,,,,,,,,,,,,,,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,
sa_vedic-ud-test,2709,0,318,,1.0,,,107.0,,,,1.0,,112.0,,,,,,,,,,,,,,73.0,,,,,,,,,4.0,,,,,,,,14.0,,,,,,6.0,
sa_vedic-ud-train,21477,0,2437,,1.0,,,716.0,5.0,3.0,3.0,10.0,,907.0,,,,,,,,,,,,,,679.0,,,,,,,1.0,,22.0,,,,,1.0,,,54.0,,,,,,35.0,
sa_vedic-ud-dev,2996,0,416,,,,,104.0,,,2.0,4.0,,154.0,,,,,,,,,2.0,,,,,138.0,,,,,,,1.0,,,,,,,,,,8.0,,,,,,3.0,
hi_hdtb-ud-train,13306,0,922,,2.0,,,881.0,,,,,,,1.0,,9.0,,3.0,,,,,3.0,,,,3.0,,,,,,,,,,,12.0,,,2.0,1.0,,,,,,,,5.0,
hi_hdtb-ud-dev,1659,0,110,,1.0,,,104.0,,,,,,,,,1.0,,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,
hi_hdtb-ud-test,1684,0,98,,,,,95.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,
hr_set-ud-dev,960,0,45,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,38.0
hr_set-ud-train,6914,0,348,,15.0,,,13.0,,,,,,,4.0,,3.0,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,3.0,,,,,2.0,295.0
hr_set-ud-test,1136,0,79,,9.0,,,2.0,,,,,,,,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,5.0,,,,,,60.0
orv_rnc-ud-dev,943,0,59,,2.0,,,49.0,,,,,,,,,,,,,1.0,,1.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,2.0,
orv_rnc-ud-train,1868,0,246,,7.0,,,171.0,,,,,,,,,,,,,,,2.0,,,,,38.0,9.0,,,,,,,,,,,,,2.0,,,,,,,,,17.0,
orv_rnc-ud-test,717,0,63,,1.0,,1.0,53.0,,,,,,,,,,,,,,,,,,,,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,
qpm_philotis-ud-train,980,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
tr_atis-ud-dev,572,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,
tr_atis-ud-train,4274,0,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,3.0,
tr_atis-ud-test,586,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,
la_perseus-ud-train,1334,0,1,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_kenet-ud-dev,1646,0,3,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,2.0,
tr_kenet-ud-train,15398,0,26,,1.0,,,1.0,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,3.0,,,,,18.0,1.0
sk_snk-ud-dev,1060,0,1,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sk_snk-ud-train,8483,0,20,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,14.0
lt_hse-ud-train,153,0,7,,,,,3.0,,,,,,,,,,1.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
lt_hse-ud-dev,55,0,2,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
ky_tuecl-ud-test,145,0,1,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sa_ufal-ud-test,230,0,34,,1.0,,,31.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
be_hse-ud-train,22853,0,329,1.0,3.0,,,284.0,,,,,,,,,1.0,,2.0,,,,,,,,,20.0,2.0,,,,,,,,,,,,,,,,,5.0,,,,,11.0,
be_hse-ud-dev,1301,0,10,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
be_hse-ud-test,1077,0,18,,,,,16.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,
et_ewt-ud-train,5444,0,142,,,,,122.0,,,,,,,,,,,1.0,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,4.0,,,,,8.0,
et_ewt-ud-test,913,0,35,,,,,29.0,,,,,,,,,,,,,,,,,,,,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
et_ewt-ud-dev,833,0,23,,,,,18.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,3.0,
cs_pud-ud-test,1000,0,3,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orv_ruthenian-ud-test,390,0,64,,,,,38.0,,,,,,,,,,,,,1.0,,,,,,,24.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
orv_ruthenian-ud-train,2789,0,348,,5.0,,,277.0,,,,,,,,,,,1.0,,,,1.0,,,,,45.0,8.0,1.0,,,,,1.0,,,,,,,,1.0,,4.0,,,,,1.0,3.0,
orv_ruthenian-ud-dev,344,0,15,,2.0,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
apu_ufpa-ud-test,161,0,2,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
egy_ujaen-ud-test,721,0,27,,,,,24.0,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
mr_ufal-ud-dev,46,0,10,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,
mr_ufal-ud-test,47,0,7,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
mr_ufal-ud-train,373,0,80,,,,,54.0,,,,,,,,,,,,,,,3.0,,,,,10.0,,1.0,,,,,,,,,,,,1.0,,,,1.0,,,,,9.0,1.0
si_stb-ud-test,100,0,9,,,,,,,,,,,,,,,,,,,,,,2.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,
